id,name_1,name_2,name_3,name_alt,type_1,type_alt,code_gadm,code_govt,code_ocha
AFG001001,Kabul,کابل,,,,,,,AF0101
AFG001002,Paghman,پغمان,,,,,,,AF0102
AFG001003,Chahar Asyab,چهار آسیاب,,,,,,,AF0103
AFG001004,Bagrami,بگرامی,,,,,,,AF0104
AFG001005,Deh Sabz,ده سبز,,,,,,,AF0105
AFG001006,Shakar Dara,شکردره,,,,,,,AF0106
AFG001007,Musahi,موسهی,,,,,,,AF0107
AFG001008,Mir Bacha Kot,میر بچه کوت,,,,,,,AF0108
AFG001009,Khak-e-Jabbar,خاک جبار,,,,,,,AF0109
AFG001010,Kalakan,کلکان,,,,,,,AF0110
AFG001011,Guldara,گلدره,,,,,,,AF0111
AFG001012,Farza,فرزه,,,,,,,AF0112
AFG001013,Estalef,استالف,,,,,,,AF0113
AFG001014,Qara Bagh,قره باغ,,,,,,,AF0114
AFG001015,Surobi,سروبی,,,,,,,AF0115
AFG002001,Mahmood-e-Raqi,محمود راقی,,,,,,,AF0201
AFG002002,Hisa-e-Duwum-e-Kohistan,حصه دوم کوهستان,,,,,,,AF0202
AFG002003,Koh Band,کوه بند,,,,,,,AF0203
AFG002004,Hisa-e-Awal-e-Kohistan,حصه اول کوهستان,,,,,,,AF0204
AFG002005,Nijrab,نجراب,,,,,,,AF0205
AFG002006,Tagab,تگاب,,,,,,,AF0206
AFG002007,Alasay,اله سای,,,,,,,AF0207
AFG003001,Charikar,چاریکار,,,,,,,AF0301
AFG003002,Bagram,بگرام,,,,,,,AF0302
AFG003003,Shinwari,شینواری,,,,,,,AF0303
AFG003004,Sayed Khel,سیدخیل,,,,,,,AF0304
AFG003005,Jabal Saraj,جبل السراج,,,,,,,AF0305
AFG003006,Salang,سالنگ,,,,,,,AF0306
AFG003007,Ghorband,غوربند,,,,,,,AF0307
AFG003008,Koh-e-Safi,کوه صافی,,,,,,,AF0308
AFG003009,Surkh-e-Parsa,سرخ پارسا,,,,,,,AF0309
AFG003010,Shekh Ali,شیخ علی,,,,,,,AF0310
AFG004001,Maydan Shahr,میدان شهر,,,,,,,AF0401
AFG004002,Nerkh,نرخ,,,,,,,AF0402
AFG004003,Jalrez,جلریز,,,,,,,AF0403
AFG004004,Chak-e-Wardak,چک,,,,,,,AF0404
AFG004005,Saydabad,سید آباد,,,,,,,AF0405
AFG004006,Daymirdad,دایمیرداد,,,,,,,AF0406
AFG004007,Hesa-e-Awal-e-Behsud,حصه اول بهسود,,,,,,,AF0407
AFG004008,Jaghatu,جغتو,,,,,,,AF0408
AFG004009,Markaz-e-Behsud,مدکز بهسود,,,,,,,AF0409
