id,name_1,name_alt,type_1,type_alt,code_gadm,code_govt
FRA001001001001001,Ambérieu-en-Bugey,,Commune,Chef-lieu canton,FRA.1.1.1.1.1_1,
FRA001001001001002,Ambronay,,Commune,Commune simple,FRA.1.1.1.1.2_1,
FRA001001001001003,Bettant,,Commune,Commune simple,FRA.1.1.1.1.3_1,
FRA001001001001004,Château-Gaillard,,Commune,Commune simple,FRA.1.1.1.1.4_1,
FRA001001001001005,Douvres,,Commune,Commune simple,FRA.1.1.1.1.5_1,
FRA001001001001006,L'Abergement-de-Varey,,Commune,Commune simple,FRA.1.1.1.1.6_1,
FRA001001001001007,Saint-Denis-en-Bugey,,Commune,Commune simple,FRA.1.1.1.1.7_1,
FRA001001001001008,Saint-Maurice-de-Rémens,,Commune,Commune simple,FRA.1.1.1.1.8_1,
FRA001001001002001,Ambléon,,Commune,Commune simple,FRA.1.1.1.2.1_1,
FRA001001001002002,Andert-et-Condon,,Commune,Commune simple,FRA.1.1.1.2.2_1,
FRA001001001002003,Arbignieu,,Commune,Commune simple,FRA.1.1.1.2.3_1,
FRA001001001002004,Belley,,Commune,Sous-préfecture,FRA.1.1.1.2.4_1,
FRA001001001002005,Brégnier-Cordon,,Commune,Commune simple,FRA.1.1.1.2.5_1,
FRA001001001002006,Brens,,Commune,Commune simple,FRA.1.1.1.2.6_1,
FRA001001001002007,Chazey-Bons,,Commune,Commune simple,FRA.1.1.1.2.7_1,
FRA001001001002008,Colomieu,,Commune,Commune simple,FRA.1.1.1.2.8_1,
FRA001001001002009,Conzieu,,Commune,Commune simple,FRA.1.1.1.2.9_1,
FRA001001001002010,Cressin-Rochefort,,Commune,Commune simple,FRA.1.1.1.2.10_1,
FRA001001001002011,Izieu,,Commune,Commune simple,FRA.1.1.1.2.11_1,
FRA001001001002012,Lavours,,Commune,Commune simple,FRA.1.1.1.2.12_1,
FRA001001001002013,Magnieu,,Commune,Commune simple,FRA.1.1.1.2.13_1,
FRA001001001002014,Massignieu-de-Rives,,Commune,Commune simple,FRA.1.1.1.2.14_1,
FRA001001001002015,Murs-et-Gélignieux,,Commune,Commune simple,FRA.1.1.1.2.15_1,
FRA001001001002016,Nattages,,Commune,Commune simple,FRA.1.1.1.2.16_1,
FRA001001001002017,Parves,,Commune,Commune simple,FRA.1.1.1.2.17_1,
