admin2Name_en,admin2Name_da,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_da,admin2AltName2_da,admin1Name_en,admin1Name_da,admin1Pcode,admin0Name_en,admin0Name_da,admin0Pcode,date,validOn,ValidTo,regionName_en,regionName_da,regionCode
Ab Band,آب بند,AF1113,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ab Kamari,آب کمری,AF3102,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Achin,اچین,AF0615,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Adraskan,ادرسکن,AF3209,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Ahmadaba,احمد آبا,AF1302,,,,,,Paktya,پکتیا,AF13,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Ajristan,اجرستان,AF1118,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Alasay,اله سای,AF0207,,,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Ali Abad,علی آباد,AF1903,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Alingar,علینگار,AF0704,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Alishang,علیشنگ,AF0703,,,,,,Laghman,لغمان,AF07,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Almar,المار,AF2904,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Anar Dara,انار دره,AF3307,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Anawa,عنابه,AF0805,,Onaba,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Andar,اندړ,AF1107,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Andarab,اندراب,AF0907,,Banu,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Andkhoy,اندخوی,AF2913,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Aqcha,آقچه,AF2807,,,,,,Jawzjan,جوزجان,AF28,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Arghandab,ارغنداب,AF2605,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Arghandab,ارغنداب,AF2702,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Arghanj Khwah,ارغنچخواه,AF1703,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Arghestan,ارغستان,AF2708,,,,,,Kandahar,کندهار,AF27,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Argo,ارگو,AF1702,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Asad Abad,اسد آباد,AF1501,,Centre,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Ashtarlay,اشترلی,AF2403,,Ishterlai,,,,Daykundi,دایکندی,AF24,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Atghar,اتغر,AF2608,,,,,,Zabul,زابل,AF26,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Aybak,ایبک,AF2001,,Centre,,,,Samangan,سمنگان,AF20,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Azra,ازره,AF0507,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Baghlan-e-Jadid,بغلان جدید,AF0905,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Baghran,باغران,AF3012,,,,,,Hilmand,هلمند,AF30,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Southern,جنوبی حوزه,SR
Bagram,بگرام,AF0302,,,,,,Parwan,پروان,AF03,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Bagrami,بگرامی,AF0104,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Baharak,بهارک,AF1706,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Baharak,بهارک,AF1803,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Bak,باک,AF1409,,,,,,Khost,خوست,AF14,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Bakwa,بکواه,AF3308,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Bala Buluk,بالا بلوک,AF3306,,,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Bala Murghab,بالا مرغاب,AF3105,,,,,,Badghis,بادغیس,AF31,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Western,لویدیځه حوزه,WR
Balkh,بلخ,AF2106,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Balkhab,بلخاب,AF2207,,,,,,Sar-e-Pul,سرپل,AF22,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Bamyan,بامیان,AF1001,,Centre,,,,Bamyan,بامیان,AF10,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Central Highland,لوړه مرکزی حوزه,CH
Bangi,بنگی,AF1804,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Bar Kunar,برکنر,AF1508,,,,,,Kunar,کنر ها,AF15,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Baraki Barak,برکی برک,AF0502,,,,,,Logar,لوگر,AF05,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Barg-e-Matal,برگ متال,AF1608,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Barmal,برمل,AF1214,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,South Eastern,جنوب ختیځه حوزه,SE
Bati Kot,بتی کوټ,AF0609,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Bazarak,بازارک,AF0801,,Centre,,,,Panjsher,پنجشیر,AF08,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Behsud,بهسود,AF0602,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Eastern,ختیځه حوزه,ER
Bilcheragh,بلچراغ,AF2905,,,,,,Faryab,فاریاب,AF29,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Northern,سهیلی حوزه,NR
Burka,بورکه,AF0910,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chahab,چاه آب,AF1816,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
Chahar Asyab,چهار آسیاب,AF0103,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Chahar Darah,چهار دره,AF1902,,,,,,Kunduz,کندز,AF19,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,North Eastern,سهیل ختیځه حوزه,NE
