admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Bubanza,BDI001,Bubanza,,,Burundi,BDI,2005-06-14,2017-11-03,
Bujumbura Mairie,BDI017,Bujumbura Mairie,,,Burundi,BDI,2005-06-14,2017-11-03,
Bujumbura Rural,BDI002,Bujumbura Rural,,,Burundi,BDI,2005-06-14,2017-11-03,
Bururi,BDI003,Bururi,,,Burundi,BDI,2005-06-14,2017-11-03,
Cankuzo,BDI004,Cankuzo,,,Burundi,BDI,2005-06-14,2017-11-03,
Cibitoke,BDI005,Cibitoke,,,Burundi,BDI,2005-06-14,2017-11-03,
Gitega,BDI006,Gitega,,,Burundi,BDI,2005-06-14,2017-11-03,
Karuzi,BDI007,Karuzi,,,Burundi,BDI,2005-06-14,2017-11-03,
Kayanza,BDI008,Kayanza,,,Burundi,BDI,2005-06-14,2017-11-03,
Kirundo,BDI009,Kirundo,,,Burundi,BDI,2005-06-14,2017-11-03,
Makamba,BDI010,Makamba,,,Burundi,BDI,2005-06-14,2017-11-03,
Muramvya,BDI011,Muramvya,,,Burundi,BDI,2005-06-14,2017-11-03,
Muyinga,BDI012,Muyinga,,,Burundi,BDI,2005-06-14,2017-11-03,
Mwaro,BDI013,Mwaro,,,Burundi,BDI,2005-06-14,2017-11-03,
Ngozi,BDI014,Ngozi,,,Burundi,BDI,2005-06-14,2017-11-03,
Rumonge,BDI018,Rumonge,,,Burundi,BDI,2015-08-23,2017-11-03,
Rutana,BDI015,Rutana,,,Burundi,BDI,2005-06-14,2017-11-03,
Ruyigi,BDI016,Ruyigi,,,Burundi,BDI,2005-06-14,2017-11-03,
