admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Ryansoro,BDI006010,Ryansoro,Ryansoro (Gitega),,Gitega,BDI006,Burundi,BDI,2005-09-30,2017-11-03,
Ndava,BDI013004,Ndava,Ndava (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Buyengero,BDI018004,Buyengero,Buyengero (Rumonge),,Rumonge,BDI018,Burundi,BDI,2015-09-13,2017-11-03,
Bugarama,BDI018002,Bugarama,Bugarama (Rumonge),,Rumonge,BDI018,Burundi,BDI,2015-09-13,2017-11-03,
Rumonge,BDI018005,Rumonge,Rumonge (Rumonge),,Rumonge,BDI018,Burundi,BDI,2015-09-13,2017-11-03,
Burambi,BDI018003,Burambi,Burambi (Rumonge),,Rumonge,BDI018,Burundi,BDI,2015-09-13,2017-11-03,
Kanyosha1,BDI002004,Kanyosha1,Kanyosha1 (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Kabezi,BDI002003,Kabezi,Kabezi (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Muhuta,BDI018001,Muhuta,Muhuta (Rumonge),,Rumonge,BDI018,Burundi,BDI,2015-09-13,2017-11-03,
Mukike,BDI002008,Mukike,Mukike (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Mutambu,BDI002009,Mutambu,Mutambu (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Nyabiraba,BDI002012,Nyabiraba,Nyabiraba (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Bururi,BDI003002,Bururi,Bururi (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Vugizo,BDI010006,Vugizo,Vugizo (Makamba),,Makamba,BDI010,Burundi,BDI,2005-09-30,2017-11-03,
Vyanda,BDI003009,Vyanda,Vyanda (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Rusaka,BDI013006,Rusaka,Rusaka (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Mugamba,BDI003005,Mugamba,Mugamba (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Songa,BDI003008,Songa,Songa (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Mugongomanga,BDI002006,Mugongomanga,Mugongomanga (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
Gisozi,BDI013002,Gisozi,Gisozi (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Bisoro,BDI013001,Bisoro,Bisoro (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Matana,BDI003004,Matana,Matana (Bururi),,Bururi,BDI003,Burundi,BDI,2005-09-30,2017-11-03,
Kayokwe,BDI013003,Kayokwe,Kayokwe (Mwaro),,Mwaro,BDI013,Burundi,BDI,2005-09-30,2017-11-03,
Mpanda,BDI001003,Mpanda,Mpanda (Bubanza),,Bubanza,BDI001,Burundi,BDI,2005-09-30,2017-11-03,
Murwi,BDI005005,Murwi,Murwi (Cibitoke),,Cibitoke,BDI005,Burundi,BDI,2005-09-30,2017-11-03,
Bubanza,BDI001001,Bubanza,Bubanza (Bubanza),,Bubanza,BDI001,Burundi,BDI,2005-09-30,2017-11-03,
Rango,BDI008009,Rango,Rango (Kayanza),,Kayanza,BDI008,Burundi,BDI,2005-09-30,2017-11-03,
Bukeye,BDI011001,Bukeye,Bukeye (Muramvya),,Muramvya,BDI011,Burundi,BDI,2005-09-30,2017-11-03,
Muramvya,BDI011004,Muramvya,Muramvya (Muramvya),,Muramvya,BDI011,Burundi,BDI,2005-09-30,2017-11-03,
Isale,BDI002002,Isale,Isale (Bujumbura Rural),,Bujumbura Rural,BDI002,Burundi,BDI,2005-09-30,2017-11-03,
