admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Bale,BF4601,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bazega,BF5101,,,,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Boulkiemde,BF5001,,,,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Comoe,BF4701,,,,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Ganzourgou,BF5501,,,,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2018-07-05,2018-08-14,
Kenedougou,BF5302,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Komondjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Koulpelogo,BF4802,,,,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Kouritenga,BF4803,,,,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Kourweogo,BF5502,,,,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Leraba,BF4702,,,,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Namentenga,BF4902,,,,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Nayala,BF4605,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Noumbiel,BF5703,,,,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Oubritenga,BF5503,,,,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Oudalan,BF5601,,,,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Passore,BF5402,,,,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Poni,BF5704,,,,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Sanguie,BF5002,,,,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Sanmatenga,BF4903,,,,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Seno,BF5602,,,,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Sissili,BF5003,,,,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Soum,BF5603,,,,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Sourou,BF4606,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Tapoa,BF5205,,,,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Tuy,BF5303,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Yagha,BF5604,,,,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Yatenga,BF5403,,,,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Ziro,BF5004,,,,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Zondoma,BF5404,,,,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Zoundweogo,BF5103,,,,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
