admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Absouya,BF550301,,,,Oubritenga,BF5503,Plateau Central,BF55,Burkina Faso,BF,2018-07-05,2018-08-14,
Andemtenga,BF480301,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Arbinda,BF560301,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Arbole,BF540201,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Bagare,BF540202,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Bagassi,BF460101,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bagre,BF480101,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Bakata,BF500401,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Balave,BF460201,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bama,BF530101,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Bana,BF460102,,,,Bale,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Bane,BF480102,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Banfora,BF470101,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Banh,BF540101,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Bani,BF560201,,,,Seno,BF5602,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Banzon,BF530201,,,,Kenedougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Baraboule,BF560302,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2018-07-05,2018-08-14,
Barani,BF460301,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
Barga,BF540301,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Barsalogho,BF490301,,,,Sanmatenga,BF4903,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Bartiebougou,BF520301,,,,Komondjari,BF5203,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Baskoure,BF480302,,,,Kouritenga,BF4803,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Bassi,BF540401,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Batie,BF570301,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2018-07-05,2018-08-14,
Beguedo,BF480103,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Bekuy,BF530301,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Bere,BF510301,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Bereba,BF530302,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Beregadougou,BF470102,,,,Comoe,BF4701,Cascades,BF47,Burkina Faso,BF,2018-07-05,2018-08-14,
Bieha,BF500301,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Bilanga,BF520101,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Binde,BF510302,,,,Zoundweogo,BF5103,Centre-Sud,BF51,Burkina Faso,BF,2018-07-05,2018-08-14,
Bingo,BF500101,,,,Boulkiemde,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2018-07-05,2018-08-14,
Bissiga,BF480104,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Bittou,BF480105,,,,Boulgou,BF4801,Centre-Est,BF48,Burkina Faso,BF,2018-07-05,2018-08-14,
Boala,BF490201,,,,Namentenga,BF4902,Centre-Nord,BF49,Burkina Faso,BF,2018-07-05,2018-08-14,
Bobo-Dioulasso,BF530102,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2018-07-05,2018-08-14,
Bogande,BF520102,,,,Gnagna,BF5201,Est,BF52,Burkina Faso,BF,2018-07-05,2018-08-14,
Bokin,BF540204,,,,Passore,BF5402,Nord,BF54,Burkina Faso,BF,2018-07-05,2018-08-14,
Bomborokuy,BF460302,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2018-07-05,2018-08-14,
