admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_fr,admin1AltName2_fr,date,validOn,validTo
Central African Republic,CF,Lobaye,CF12,Lobaye,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Sangha-Mbaere,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Mambere-Kadei,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Nana-Mambere,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Ouham,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Kemo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Nana-Gribizi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Ouham Pende,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Vakaga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Bamingui-Bangoran,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Haute-Kotto,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Haut-Mbomou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Mbomou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Ombella MPoko,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Ouaka,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Basse-Kotto,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,,,2014-08-02,2015-06-15,
