admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,date,validOn,validTo
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Mbaiki,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boda,CF123,Boda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mongoumba,CF122,Mongoumba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Bambio,CF232,Bambio,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boganda,CF125,Boganda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Carnot,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Baboua,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Bouar,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Gadzi,CF217,Gadzi,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baoro,CF222,Baoro,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Bossangoa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Bouca,CF325,Bouca,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Batangafo,CF326,Batangafo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Sibut,CF411,Sibut,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Mbrès,CF422,Mbres,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Paoua,CF314,Paoua,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Ngaoundaye,CF315,Ngaoundaye,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Bozoum,CF311,Bozoum,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Bossemtélé,CF316,Bossemtele,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Nola,CF231,Nola,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Bayanga,CF233,Bayanga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Birao,CF531,Birao,,,2014-08-02,2015-06-15,
Central African Republic,CF,Vakaga,CF53,Ouanda-Djallé,CF532,Ouanda-Djalle,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Ndélé,CF511,Ndele,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Ouadda,CF522,Ouadda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Bambouti,CF632,Bambouti,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bangassou,CF621,Bangassou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Gambo,CF623,Gambo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Ouango,CF622,Ouango,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boganangone,CF124,Boganangone,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Ndjoukou,CF414,Ndjoukou,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Ippy,CF435,Ippy,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Boali,CF114,Boali,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Bossembélé,CF115,Bossembele,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Yaloké,CF116,Yaloke,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ombella M'Poko,CF11,Damara,CF112,Damara,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Grimari,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Bambari,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mobaye,CF611,Mobaye,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Alindao,CF612,Alindao,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Kouango,CF434,Kouango,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Bria,CF521,Bria,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Mingala,CF614,Mingala,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bamingui-Bangoran,CF51,Bamingui,CF512,Bamingui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouaka,CF43,Bakala,CF432,Bakala,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haute-Kotto,CF52,Yalinga,CF523,Yalinga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Zémio,CF633,Zemio,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Markounda,CF323,Markounda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham Pendé,CF31,Koui,CF313,Koui,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Berbérati,CF211,Berberati,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Satema,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Obo,CF631,Obo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Haut-Mbomou,CF63,Djéma,CF634,Djema,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Rafai,CF624,Rafai,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mbomou,CF62,Bakouma,CF625,Bakouma,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Kembé,CF613,Kembe,,,2014-08-02,2015-06-15,
Central African Republic,CF,Basse-Kotto,CF61,Zangba,CF615,Zangba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Mala,CF413,Mala,,,2014-08-02,2015-06-15,
Central African Republic,CF,Kémo,CF41,Dékoa,CF412,Dekoa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Kaga-Bandoro,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Kabo,CF327,Kabo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,,,2014-08-02,2015-06-15,
Central African Republic,CF,Ouham,CF32,Nangha Boguila,CF324,Nangha Boguila,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Gamboula,CF212,Gamboula,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Sosso-Nakombo,CF215,Sosso-Nakombo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Amada-Gaza,CF214,Amada-Gaza,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Dédé-Mokouba,CF216,Dede-Mokouba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Bangui,,,2014-08-02,2015-06-15,
