admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,date,validOn,validTo
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Bogongo Gaza,CF1214,Bogongo Gaza,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boda,CF123,Lobaye,CF1232,Lobaye,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Mbaiki,CF1211,Mbaiki,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Mbata,CF1212,Mbata,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Balé-Loko,CF1218,Bale-Loko,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,Mongoumba,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Nola,CF1216,Nola,,,2014-08-02,2015-06-15,
Central African Republic,CF,Sangha-Mbaéré,CF23,Bambio,CF232,Mbaéré,CF2321,Mbaere,,,2014-08-02,2015-06-15,
Central African Republic,CF,Lobaye,CF12,Boganda,CF125,Boganda,CF1251,Boganda,,,2014-08-02,2015-06-15,
Central African Republic,CF,Mambéré-Kadéï,CF21,Carnot,CF213,Senkpa-Mbaéré,CF2132,Senkpa-Mbaere,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Fo,CF2235,Fo,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Baboua,CF223,Koundé,CF2234,Kounde,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Yénga,CF2215,Yenga,,,2014-08-02,2015-06-15,
Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Nadziboro,CF2242,Nadziboro,,,2014-08-02,2015-06-15,
