admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin4Name_fr,admin4Pcode,admin4RefName,admin4AltName1_fr,admin4AltName2_fr,date,validOn,validTo
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Gbanikola II,CF711603,Gbanikola II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Iles des Singes,CF711206,Iles des Singes,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mbossoro,CF711614,Mbossoro,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Modoua,CF711615,Modoua,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Bogbaya,CF711602,Bogbaya,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Sandoubé,CF711618,Sandoube,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII I,CF711401,Cite Jean XXIII I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Ngoumboutou,CF711422,Ngoumboutou,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Lando II,CF711419,Lando II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro V,CF711323,Kokoro V,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Boulata,CF711303,Boulata,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbatoum,CF711314,Gbatoum,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Saint Paul II,CF711708,Saint Paul II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Kagamangoulou,CF711416,Kagamangoulou,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo I,CF711410,Gombongo I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Gombongo VI,CF711413,Gombongo VI,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII III,CF711403,Cite Jean XXIII III,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 4,CF7114,Cité Jean XXIII II,CF711402,Cite Jean XXIII II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Ndress I,CF711705,Ndress I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Centre Ville,CF711106,Centre Ville,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Lakouanga 0,CF711209,Lakouanga 0,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117,Camp Kassat,CF711701,Camp Kassat,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 7,CF7117, , , ,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Pétévo,CF711617,Petevo,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Linguissa II,CF711612,Linguissa II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mandja Otto,CF711613,Mandja Otto,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé I,CF711605,Kpetene I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé III,CF711607,Kpetene III,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé Saint Jacques,CF711609,Kpetene Saint Jacques,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé II,CF711606,Kpetene II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Zoubé,CF711621,Zoube,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro II,CF711321,Kokoro II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro III,CF711304,Kokoro III,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Fatima II Magalé,CF711311,Fatima II Magale,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro I,CF711320,Kokoro I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kokoro IV,CF711322,Kokoro IV,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya-Ndombia II,CF711317,Gbaya-Ndombia II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Gbaya-Ndombia II, ,Gbaya-Ndombia II,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Fatima,CF711310,Fatima,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Mokalp,CF711616,Mokalp,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,92 Logements,CF711601,92 Logements,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé V,CF711610,Kpetene V,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Kpéténé IV,CF711608,Kpetene IV,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Kangala,CF711319,Kangala,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Sica III,CF711220,Sica III,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Castors I,CF711307,Castors I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Yapele IV,CF711225,Yapele IV,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Isongo,CF711318,Isongo,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Sapéké III,CF711620,Sapeke III,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Linguissa I,CF711611,Linguissa I,,,2015-03-31,2015-06-15,
Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 6,CF7116,Sapéké I,CF711619,Sapeke I,,,2015-03-31,2015-06-15,
