admin1Name_en,admin1Name_fr,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_fr,admin1AltName2_fr,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
Adamawa,Adamaoua,CM001,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
Centre,Centre,CM002,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
East,Est,CM003,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
Far-North,Extrême-Nord,CM004,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
Littoral,Littoral,CM005,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
North,Nord,CM006,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
North-West,Nord-Ouest,CM007,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
South,Sud,CM009,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
South-West,Sud-Ouest,CM010,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
West,Ouest,CM008,,,,,,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
