admin2Name_en,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_fr,admin2AltName2_fr,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
,Bamboutos,CM008001,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Bénoué,CM006001,Benoue,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Boumba-et-Ngoko,CM003001,,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Boyo,CM007001,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Bui,CM007002,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Diamaré,CM004001,Diamare,,,,,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Dja-et-Lobo,CM009001,,,,,,South,Sud,CM009,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Djérem,CM001001,Djerem,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Donga-Mantung,CM007003,,,,,,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Fako,CM010001,,,,,,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Faro,CM006002,,,,,,North,Nord,CM006,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Faro-et-Déo,CM001002,Faro-et-Deo,,,,,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Haut-Nkam,CM008002,,,,,,West,Ouest,CM008,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
,Haut-Nyong,CM003002,,,,,,East,Est,CM003,Cameroon,Cameroun (le),CM,2018-12-17,2019-01-04,
