admin0Name_es,admin0Pcode,admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,date,validOn,validTo
Colombia,CO,Amazonas,CO91,Amazonas,,,2009-01-01,2014-10-29,
Colombia,CO,Antioquia,CO05,Antioquia,,,2009-01-01,2014-10-29,
Colombia,CO,Arauca,CO81,Arauca,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Atlantico,,,2009-01-01,2014-10-29,
Colombia,CO,Bogotá D.C.,CO11,Bogota D.C.,,,2009-01-01,2014-10-29,
Colombia,CO,Bolívar,CO13,Bolivar,,,2009-01-01,2014-10-29,
Colombia,CO,Boyacá,CO15,Boyaca,,,2009-01-01,2014-10-29,
Colombia,CO,Caldas,CO17,Caldas,,,2009-01-01,2014-10-29,
Colombia,CO,Caquetá,CO18,Caqueta,,,2009-01-01,2014-10-29,
Colombia,CO,Casanare,CO85,Casanare,,,2009-01-01,2014-10-29,
Colombia,CO,Cauca,CO19,Cauca,,,2009-01-01,2014-10-29,
Colombia,CO,Cesar,CO20,Cesar,,,2009-01-01,2014-10-29,
Colombia,CO,Chocó,CO27,Choco,,,2009-01-01,2014-10-29,
Colombia,CO,Córdoba,CO23,Cordoba,,,2009-01-01,2014-10-29,
Colombia,CO,Cundinamarca,CO25,Cundinamarca,,,2009-01-01,2014-10-29,
Colombia,CO,Guainía,CO94,Guainia,,,2009-01-01,2014-10-29,
Colombia,CO,Guaviare,CO95,Guaviare,,,2009-01-01,2014-10-29,
Colombia,CO,Huila,CO41,Huila,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,La Guajira,,,2009-01-01,2014-10-29,
Colombia,CO,Magdalena,CO47,Magdalena,,,2009-01-01,2014-10-29,
Colombia,CO,Meta,CO50,Meta,,,2009-01-01,2014-10-29,
Colombia,CO,Nariño,CO52,Narino,,,2009-01-01,2014-10-29,
Colombia,CO,Norte de Santander,CO54,Norte de Santander,,,2009-01-01,2014-10-29,
Colombia,CO,Putumayo,CO86,Putumayo,,,2009-01-01,2014-10-29,
Colombia,CO,Quindío,CO63,Quindio,,,2009-01-01,2014-10-29,
Colombia,CO,Risaralda,CO66,Risaralda,,,2009-01-01,2014-10-29,
Colombia,CO,San Andrés y Providencia,CO88,San Andres y Providencia,,,2009-01-01,2014-10-29,
Colombia,CO,Santander,CO68,Santander,,,2009-01-01,2014-10-29,
Colombia,CO,Sucre,CO70,Sucre,,,2009-01-01,2014-10-29,
Colombia,CO,Tolima,CO73,Tolima,,,2009-01-01,2014-10-29,
Colombia,CO,Valle del Cauca,CO76,Valle del Cauca,,,2009-01-01,2014-10-29,
Colombia,CO,Vaupés,CO97,Vaupes,,,2009-01-01,2014-10-29,
Colombia,CO,Vichada,CO99,Vichada,,,2009-01-01,2014-10-29,
