admin0Name_es,admin0Pcode,admin1Name_es,admin1Pcode,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,date,validOn,validTo
Colombia,CO,La Guajira,CO44,Uribía,CO44847,Uribia,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Manaure,CO44560,Manaure,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Maicao,CO44430,Maicao,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Riohacha,CO44001,Riohacha,,,2009-01-01,2014-10-29,
Colombia,CO,Magdalena,CO47,Santa Marta,CO47001,Santa Marta,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Dibulla,CO44090,Dibulla,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Hatonuevo,CO44378,Hatonuevo,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Barrancas,CO44078,Barrancas,,,2009-01-01,2014-10-29,
Colombia,CO,Magdalena,CO47,Sitionuevo,CO47745,Sitionuevo,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Barranquilla,CO08001,Barranquilla,,,2009-01-01,2014-10-29,
Colombia,CO,Magdalena,CO47,Cienaga,CO47189,Cienaga,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Puerto Colombia,CO08573,Puerto Colombia,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Distracción,CO44098,Distraccion,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,Fonseca,CO44279,Fonseca,,,2009-01-01,2014-10-29,
Colombia,CO,La Guajira,CO44,San Juan del Cesar,CO44650,San Juan del Cesar,,,2009-01-01,2014-10-29,
Colombia,CO,Magdalena,CO47,Puebloviejo,CO47570,Puebloviejo,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Tubara,CO08832,Tubara,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Galapa,CO08296,Galapa,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Soledad,CO08758,Soledad,,,2009-01-01,2014-10-29,
Colombia,CO,Atlántico,CO08,Malambo,CO08433,Malambo,,,2009-01-01,2014-10-29,
