admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Addis Ababa,ET14,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Afar,ET02,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Amhara,ET03,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Benishangul Gumz,ET06,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Dire Dawa,ET15,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Gambela,ET12,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Harari,ET13,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Oromia,ET04,,,,Ethiopia,ET,2019-08-19,2019-10-28,
SNNP,ET07,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Somali,ET05,,,,Ethiopia,ET,2019-08-19,2019-10-28,
Tigray,ET01,,,,Ethiopia,ET,2019-08-19,2019-10-28,
