admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Afder,ET0508,,,,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Agnewak,ET1202,,,,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Alle,ET0712,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Amaro,ET0721,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Arsi,ET0408,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Asosa,ET0603,,,,Benishangul Gumz,ET06,Ethiopia,ET,2019-08-19,2019-10-28,
Awi,ET0309,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Bale,ET0411,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Basketo,ET0716,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Bench Maji,ET0711,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Borena,ET0412,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Buno Bedele,ET0416,,,,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Burji,ET0722,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Central,ET0102,,,,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Central Gondar,ET0311,,,,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Daawa,ET0511,,,,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Dawuro,ET0717,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Derashe,ET0723,,,,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Dire Dawa rural,ET1502,,,,Dire Dawa,ET15,Ethiopia,ET,2019-08-19,2019-10-28,
