admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Aba-Korow,ET050699,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Aba 'Ala,ET020203,Aba Ala,,,Zone 2 (Kilbet Rasu),ET0202,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Ababo,ET041904,,,,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Abadir,ET130109,,,,Harari,ET1301,Harari,ET13,Ethiopia,ET,2019-08-19,2019-10-28,
Abay Chomen,ET041905,,,,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Abaya,ET041513,,,,West Guji,ET0415,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Abderafi Town,ET031223,,,,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Abe Dongoro,ET041910,,,,Horo Gudru Wellega,ET0419,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Abergele,ET030805,,,,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2019-08-19,2019-10-28,
Abeshege,ET070102,,,,Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,2019-08-19,2019-10-28,
Abi Adi Town,ET010211,,,,Central,ET0102,Tigray,ET01,Ethiopia,ET,2019-08-19,2019-10-28,
Abichugna Gne'a,ET040609,Abichugna Gnea,,,North Shewa,ET0406,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Abobo,ET120201,,,,Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,2019-08-19,2019-10-28,
Aboker,ET130108,,,,Harari,ET1301,Harari,ET13,Ethiopia,ET,2019-08-19,2019-10-28,
Abuna G/Beret,ET040516,,,,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Ada'a,ET040706,Adaa,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Adaa'r,ET020109,Adaar,,,Zone 1 (Awsi Rasu),ET0201,Afar,ET02,Ethiopia,ET,2019-08-19,2019-10-28,
Adaba,ET041710,,,,West Arsi,ET0417,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Adadle,ET050602,,,,Shabelle,ET0506,Somali,ET05,Ethiopia,ET,2019-08-19,2019-10-28,
Adama,ET040703,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Adama Town,ET040714,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
Adama Tulu Jido Kombolcha,ET040708,,,,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2019-08-19,2019-10-28,
