admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Dayret Nahr El-Kabir,دائرة النهر الكبير,35511,Dayret Nahr El-Kabir,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Machta Hammoud,مشتى حمود,35437,Machta Hammoud,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mazareaa Jabal Akroum,اكروم,35516,Mazareaa Jabal Akroum,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
AAridet Cheikh Zennad,العريضة,35273,AAridet Cheikh Zennad,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Sammaqiyeh,السماقية,35271,Sammaqiyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Janine,جنين,35263,Janine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aamayer,العماير,35512,Aamayer,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aabboudiyeh,العبودية,35249,Aabboudiyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aaouaainat Aakkar,العوينات,35420,Aaouaainat Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hokr Ed-Dahri,حكر الضاهري,35253,Hokr Ed-Dahri,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Khalsa,خالصة,35430,Khalsa,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kharnoubet Aakkar,الخرنوبه,35257,Kharnoubet Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Dibbabiyeh,دبابية,35432,Dibbabiyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Chir Hmairine,شير حمارين,35224,Chir Hmairine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tall Bireh,تلبيرة,35235,Tall Bireh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hokr Jouret Srar,حكر جورة سرار,35239,Hokr Jouret Srar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Noura Et-Tahta,نورا التحتا,35445,Noura Et-Tahta,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kfar Noun,كفرنون,35406,Kfar Noun,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qarha Aakkar,قرحه عكار,35518,Qarha Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Tall Hmayra,تلحميرة,35237,Tall Hmayra,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Litige,,35001,Litige,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aarmeh,عرمه,35484,Aarmeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Khirbet Er Remmane,خربة الرمان,35410,Khirbet Er Remmane,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Massaaoudiyeh,المسعودية,35229,Massaaoudiyeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Barcha,برشا,35241,Barcha,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Cheikh Zennad,الشيخ زناد,35267,Cheikh Zennad,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Hnaider,حنيدر,35514,Hnaider,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mounjez,منجز,35414,Mounjez,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Cheikhlar,شيخلار,35402,Cheikhlar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Rmah,رماح النهريه,35404,Rmah,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Qachlaq,قشلق,35453,Qachlaq,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kneisset Aakkar,الكنيسة,35245,Kneisset Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Fraydes Aakkar,فريديس,35412,Fraydes Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aamaret El-Baykat,عمار البيكات,35449,Aamaret El-Baykat,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Srar,سرار,35471,Srar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Kouachra,الكواشرة,35429,Kouachra,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Darine,دارين,35225,Darine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Aandqet,عندقت,35498,Aandqet,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Baghdadi,دوسة بغدادي,35439,Baghdadi,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mighraq Aakkar,المغراق,35251,Mighraq Aakkar,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Mzeihmeh,مزيحمة,35461,Mzeihmeh,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
Saadine,سعدين,35217,Saadine,,,,,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2015-11-06,2016-08-22,
