ISO3,Pays,rowcacode1,rowcacode2,Région,Département
NER,NIGER,NER001,NER001001,AGADEZ,ADERBISSINAT
NER,NIGER,NER001,NER001002,AGADEZ,ARLIT
NER,NIGER,NER001,NER001003,AGADEZ,BILMA
NER,NIGER,NER001,NER001004,AGADEZ,IFEROUANE
NER,NIGER,NER001,NER001005,AGADEZ,INGALL
NER,NIGER,NER001,NER001006,AGADEZ,TCHIROZERINE
NER,NIGER,NER002,NER002001,DIFFA,BOSSO
NER,NIGER,NER002,NER002002,DIFFA,DIFFA
NER,NIGER,NER002,NER002003,DIFFA,GOUDOUMARIA
NER,NIGER,NER002,NER002004,DIFFA,MAINE-SOROA
NER,NIGER,NER002,NER002005,DIFFA,N'GOURTI
NER,NIGER,NER002,NER002006,DIFFA,N'GUIGMI
NER,NIGER,NER003,NER003001,DOSSO,BOBOYE
NER,NIGER,NER003,NER003002,DOSSO,DIOUNDIOU
NER,NIGER,NER003,NER003003,DOSSO,DOGONDOUTCHI
NER,NIGER,NER003,NER003004,DOSSO,DOSSO
NER,NIGER,NER003,NER003005,DOSSO,FALMEY
NER,NIGER,NER003,NER003006,DOSSO,GAYA
NER,NIGER,NER003,NER003007,DOSSO,LOGA
NER,NIGER,NER003,NER003008,DOSSO,TIBIRI (DOUTCHI)
NER,NIGER,NER004,NER004001,MARADI,AGUIE
NER,NIGER,NER004,NER004002,MARADI,BERMO
NER,NIGER,NER004,NER004003,MARADI,DAKORO
NER,NIGER,NER004,NER004004,MARADI,GAZAOUA
NER,NIGER,NER004,NER004005,MARADI,GUIDAN-ROUMDJI
NER,NIGER,NER004,NER004006,MARADI,MADAROUNFA
NER,NIGER,NER004,NER004007,MARADI,VILLE DE MARADI
NER,NIGER,NER004,NER004008,MARADI,MAYAHI
NER,NIGER,NER004,NER004009,MARADI,TESSAOUA
NER,NIGER,NER005,NER005001,TAHOUA,ABALAK
NER,NIGER,NER005,NER005002,TAHOUA,BAGAROUA
NER,NIGER,NER005,NER005003,TAHOUA,BIRNI N'KONNI
NER,NIGER,NER005,NER005004,TAHOUA,BOUZA
NER,NIGER,NER005,NER005005,TAHOUA,ILLELA
NER,NIGER,NER005,NER005006,TAHOUA,KEITA
NER,NIGER,NER005,NER005007,TAHOUA,MADAOUA
NER,NIGER,NER005,NER005008,TAHOUA,MALBAZA
NER,NIGER,NER005,NER005009,TAHOUA,TAHOUA
NER,NIGER,NER005,NER005010,TAHOUA,TASSARA
NER,NIGER,NER005,NER005011,TAHOUA,TCHINTABARADEN
NER,NIGER,NER005,NER005012,TAHOUA,TILLIA
NER,NIGER,NER005,NER005013,TAHOUA,VILLE DE TAHOUA
NER,NIGER,NER006,NER006001,TILLABERI,ABALA
NER,NIGER,NER006,NER006002,TILLABERI,AYEROU
NER,NIGER,NER006,NER006003,TILLABERI,BALLEYARA
NER,NIGER,NER006,NER006004,TILLABERI,BANIBANGOU
NER,NIGER,NER006,NER006005,TILLABERI,BANKILARE
NER,NIGER,NER006,NER006006,TILLABERI,FILINGUE
NER,NIGER,NER006,NER006007,TILLABERI,GOTHEYE
NER,NIGER,NER006,NER006008,TILLABERI,KOLLO
NER,NIGER,NER006,NER006009,TILLABERI,OUALLAM
NER,NIGER,NER006,NER006010,TILLABERI,SAY
NER,NIGER,NER006,NER006011,TILLABERI,TERA
NER,NIGER,NER006,NER006012,TILLABERI,TILLABERI
NER,NIGER,NER006,NER006013,TILLABERI,TORODI
NER,NIGER,NER007,NER007001,ZINDER,BELBEDJI
NER,NIGER,NER007,NER007002,ZINDER,DAMAGARAM TAKAYA
NER,NIGER,NER007,NER007003,ZINDER,DUNGASS
NER,NIGER,NER007,NER007004,ZINDER,GOURE
NER,NIGER,NER007,NER007005,ZINDER,KANTCHE
NER,NIGER,NER007,NER007006,ZINDER,MAGARIA
NER,NIGER,NER007,NER007007,ZINDER,MIRRIAH
NER,NIGER,NER007,NER007008,ZINDER,TAKEITA
NER,NIGER,NER007,NER007009,ZINDER,TANOUT
NER,NIGER,NER007,NER007010,ZINDER,TESKER
NER,NIGER,NER007,NER007011,ZINDER,VILLE DE ZINDER
NER,NIGER,NER008,NER008001,NIAMEY,VILLE DE NIAMEY
