ISO3,Pays,rowcacode1,rowcacode2,rowcacode3,Région,Département,Commune
NER,NIGER,NER001,NER001001,NER001001001,AGADEZ,ADERBISSINAT,Aderbissinat
NER,NIGER,NER001,NER001002,NER001002001,AGADEZ,ARLIT,Arlit
NER,NIGER,NER001,NER001002,NER001002002,AGADEZ,ARLIT,Dannet
NER,NIGER,NER001,NER001002,NER001002003,AGADEZ,ARLIT,Gougaram
NER,NIGER,NER001,NER001003,NER001003001,AGADEZ,BILMA,Bilma
NER,NIGER,NER001,NER001003,NER001003002,AGADEZ,BILMA,Dirkou
NER,NIGER,NER001,NER001003,NER001003003,AGADEZ,BILMA,Djado
NER,NIGER,NER001,NER001003,NER001003004,AGADEZ,BILMA,Fachi
NER,NIGER,NER001,NER001004,NER001004001,AGADEZ,IFEROUANE,Iferouane
NER,NIGER,NER001,NER001004,NER001004002,AGADEZ,IFEROUANE,Timia
NER,NIGER,NER001,NER001005,NER001005001,AGADEZ,INGALL,Ingall
NER,NIGER,NER001,NER001006,NER001006001,AGADEZ,TCHIROZERINE,Agadez
NER,NIGER,NER001,NER001006,NER001006002,AGADEZ,TCHIROZERINE,Dabaga
NER,NIGER,NER001,NER001006,NER001006003,AGADEZ,TCHIROZERINE,Tabelot
NER,NIGER,NER001,NER001006,NER001006004,AGADEZ,TCHIROZERINE,Tchirozerine
NER,NIGER,NER002,NER002001,NER002001001,DIFFA,BOSSO,Bosso
NER,NIGER,NER002,NER002001,NER002001002,DIFFA,BOSSO,Toumour
NER,NIGER,NER002,NER002002,NER002002001,DIFFA,DIFFA,Chétimari
NER,NIGER,NER002,NER002002,NER002002002,DIFFA,DIFFA,Diffa
NER,NIGER,NER002,NER002002,NER002002003,DIFFA,DIFFA,Geskerou
NER,NIGER,NER002,NER002003,NER002003001,DIFFA,GOUDOUMARIA,Goudoumaria
NER,NIGER,NER002,NER002004,NER002004001,DIFFA,MAINE-SOROA,Foulatari
NER,NIGER,NER002,NER002004,NER002004002,DIFFA,MAINE-SOROA,Maine-Soroa
NER,NIGER,NER002,NER002004,NER002004003,DIFFA,MAINE-SOROA,N'Gelbely
NER,NIGER,NER002,NER002005,NER002005001,DIFFA,N'GOURTI,N'Gourti
NER,NIGER,NER002,NER002006,NER002006001,DIFFA,N'GUIGMI,Kablewa
NER,NIGER,NER002,NER002006,NER002006002,DIFFA,N'GUIGMI,N'Guigmi
NER,NIGER,NER003,NER003001,NER003001001,DOSSO,BOBOYE,Birni N'Gaoure
NER,NIGER,NER003,NER003001,NER003001002,DOSSO,BOBOYE,Fabidji
NER,NIGER,NER003,NER003001,NER003001003,DOSSO,BOBOYE,Fakara
NER,NIGER,NER003,NER003001,NER003001004,DOSSO,BOBOYE,Harikanassou
NER,NIGER,NER003,NER003001,NER003001005,DOSSO,BOBOYE,Kankandi
NER,NIGER,NER003,NER003001,NER003001006,DOSSO,BOBOYE,Kiota
NER,NIGER,NER003,NER003001,NER003001007,DOSSO,BOBOYE,Koygolo
NER,NIGER,NER003,NER003001,NER003001008,DOSSO,BOBOYE,N'Gonga
NER,NIGER,NER003,NER003002,NER003002001,DOSSO,DIOUNDIOU,Dioundiou
NER,NIGER,NER003,NER003002,NER003002002,DOSSO,DIOUNDIOU,Karakara
NER,NIGER,NER003,NER003002,NER003002003,DOSSO,DIOUNDIOU,Zabori
NER,NIGER,NER003,NER003003,NER003003001,DOSSO,DOGONDOUTCHI,Dan - Kassari
NER,NIGER,NER003,NER003003,NER003003002,DOSSO,DOGONDOUTCHI,Dogondoutchi
