admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Autonomous Region in Muslim Mindanao ,PH150000000,,ARMM,,Philippines (the),PH,2016-06-15,2018-01-30,
Cordillera Administrative Region ,PH140000000,,CAR,,Philippines (the),PH,2016-06-15,2018-01-30,
National Capital Region ,PH130000000,,NCR,,Philippines (the),PH,2016-06-15,2018-01-30,
Negros Island Region ,PH180000000,,NIR,,Philippines (the),PH,2016-06-15,2018-01-30,
Region I ,PH010000000,,Ilocos Region,,Philippines (the),PH,2016-06-15,2018-01-30,
Region II ,PH020000000,,Cagayan Valley,,Philippines (the),PH,2016-06-15,2018-01-30,
Region III ,PH030000000,,Central Luzon,,Philippines (the),PH,2016-06-15,2018-01-30,
Region IV-A ,PH040000000,,Calabarzon,,Philippines (the),PH,2016-06-15,2018-01-30,
Region IV-B ,PH170000000,,Mimaropa,,Philippines (the),PH,2016-06-15,2018-01-30,
Region IX ,PH090000000,,Zamboanga Peninsula,,Philippines (the),PH,2016-06-15,2018-01-30,
Region V ,PH050000000,,Bicol Region,,Philippines (the),PH,2016-06-15,2018-01-30,
Region VI ,PH060000000,,Western Visayas,,Philippines (the),PH,2016-06-15,2018-01-30,
Region VII ,PH070000000,,Central Visayas,,Philippines (the),PH,2016-06-15,2018-01-30,
Region VIII ,PH080000000,,Eastern Visayas,,Philippines (the),PH,2016-06-15,2018-01-30,
Region X ,PH100000000,,Northern Mindanao,,Philippines (the),PH,2016-06-15,2018-01-30,
Region XI ,PH110000000,,Davao Region,,Philippines (the),PH,2016-06-15,2018-01-30,
Region XII ,PH120000000,,Soccsksargen,,Philippines (the),PH,2016-06-15,2018-01-30,
Region XIII ,PH160000000,,Caraga,,Philippines (the),PH,2016-06-15,2018-01-30,
