admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Abra,PH140100000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
Agusan del Norte,PH160200000,,,,Region XIII ,PH160000000,Philippines (the),PH,2016-06-15,2018-01-30,
Agusan del Sur,PH160300000,,,,Region XIII ,PH160000000,Philippines (the),PH,2016-06-15,2018-01-30,
Aklan,PH060400000,,,,Region VI ,PH060000000,Philippines (the),PH,2016-06-15,2018-01-30,
Albay,PH050500000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
Antique,PH060600000,,,,Region VI ,PH060000000,Philippines (the),PH,2016-06-15,2018-01-30,
Apayao,PH148100000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
Aurora,PH037700000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Basilan,PH150700000,,,,Autonomous Region in Muslim Mindanao ,PH150000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bataan,PH030800000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Batanes,PH020900000,,,,Region II ,PH020000000,Philippines (the),PH,2016-06-15,2018-01-30,
Batangas,PH041000000,,,,Region IV-A ,PH040000000,Philippines (the),PH,2016-06-15,2018-01-30,
Benguet,PH141100000,,,,Cordillera Administrative Region ,PH140000000,Philippines (the),PH,2016-06-15,2018-01-30,
Biliran,PH087800000,,,,Region VIII ,PH080000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bohol,PH071200000,,,,Region VII ,PH070000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bukidnon,PH101300000,,,,Region X ,PH100000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bulacan,PH031400000,,,,Region III ,PH030000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cagayan,PH021500000,,,,Region II ,PH020000000,Philippines (the),PH,2016-06-15,2018-01-30,
Camarines Norte,PH051600000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
Camarines Sur,PH051700000,,,,Region V ,PH050000000,Philippines (the),PH,2016-06-15,2018-01-30,
