admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Adams,PH012801000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bacarra,PH012802000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Badoc,PH012803000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bangui,PH012804000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
City of Batac,PH012805000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Burgos,PH012806000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Carasi,PH012807000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Currimao,PH012808000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Dingras,PH012809000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Dumalneg,PH012810000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Banna,PH012811000,,Espiritu,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Laoag City,PH012812000,,Capital,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Marcos,PH012813000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Nueva Era,PH012814000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Pagudpud,PH012815000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Paoay,PH012816000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Pasuquin,PH012817000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Piddig,PH012818000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Pinili,PH012819000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
San Nicolas,PH012820000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Sarrat,PH012821000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Solsona,PH012822000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Vintar,PH012823000,,,,Ilocos Norte,PH012800000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Alilem,PH012901000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Banayoyo,PH012902000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Bantay,PH012903000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Burgos,PH012904000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cabugao,PH012905000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
City of Candon,PH012906000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Caoayan,PH012907000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Cervantes,PH012908000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Galimuyod,PH012909000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Gregorio del Pilar,PH012910000,,Concepcion,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Lidlidda,PH012911000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Magsingal,PH012912000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Nagbukel,PH012913000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Narvacan,PH012914000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Quirino,PH012915000,,Angkaki,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
Salcedo,PH012916000,,Baugen,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
San Emilio,PH012917000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
San Esteban,PH012918000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
San Ildefonso,PH012919000,,,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
San Juan,PH012920000,,Lapog,,Ilocos Sur,PH012900000,Region I ,PH010000000,Philippines (the),PH,2016-06-15,2018-01-30,
