admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Bethlehem,PS0145,Bethlehem,,,State of Palestine,PS,2006-01-01,2015-12-14,
Hebron,PS0150,Hebron,,,State of Palestine,PS,2006-01-01,2015-12-14,
Jenin,PS0101,Jenin,,,State of Palestine,PS,2006-01-01,2015-12-14,
Jericho,PS0135,Jericho,,,State of Palestine,PS,2006-01-01,2015-12-14,
Jerusalem,PS0140,Jerusalem,,,State of Palestine,PS,2006-01-01,2015-12-14,
Nablus,PS0115,Nablus,,,State of Palestine,PS,2006-01-01,2015-12-14,
Qalqilya,PS0120,Qalqilya,,,State of Palestine,PS,2006-01-01,2015-12-14,
Ramallah,PS0130,Ramallah,,,State of Palestine,PS,2006-01-01,2015-12-14,
Salfit,PS0125,Salfit,,,State of Palestine,PS,2006-01-01,2015-12-14,
Tubas,PS0105,Tubas,,,State of Palestine,PS,2006-01-01,2015-12-14,
Tulkarm,PS0110,Tulkarm,,,State of Palestine,PS,2006-01-01,2015-12-14,
North Gaza,PS0255,North Gaza,,,State of Palestine,PS,2006-01-01,2015-12-14,
Gaza,PS0260,Gaza,,,State of Palestine,PS,2006-01-01,2015-12-14,
Deir Al-Balah,PS0265,Deir Al-Balah,,,State of Palestine,PS,2006-01-01,2015-12-14,
Khan Younis,PS0270,Khan Younis,,,State of Palestine,PS,2006-01-01,2015-12-14,
Rafah,PS0275,Rafah,,,State of Palestine,PS,2006-01-01,2015-12-14,
