admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Deir al Balah Camp,PS02653200,Deir al Balah Camp,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Khan Yunis Camp,PS02703410,Khan Yunis Camp,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Bani Suheila,PS02703425,Bani Suheila,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Khan Yunis,PS02703420,Khan Yunis,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
'Abasan al Jadida (as Saghir),PS02703430,Abasan al Jadida (as Saghir),,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
'Abasan al Kabira,PS02703445,Abasan al Kabira,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Al Mawasi (Khan Yunis),PS02703415,Al Mawasi (Khan Yunis),,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Rafah Camp,PS02753495,Rafah Camp,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
As Siafa,PS02550001,As Siafa,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Al Maghazi Camp,PS02653210,Al Maghazi Camp,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Al Qarya as Suwydiya,PS02753440,Al Qarya as Suwydiya,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Al Mawasi (Rafah),PS02753435,Al Mawasi (Rafah),,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Al Bayuk,PS02753500,Al Bayuk,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Jabalia Camp,PS02552755,Jabalia Camp,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Al Zahra,PS02600002,Al Zahra,,,Gaza,PS0260,State of Palestine,PS,2007-07-23,2015-12-14,
Al Ma'ani,PS02650000,Al Maani,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Ash Shati' Camp,PS02602775,Ash Shati Camp,,,Gaza,PS0260,State of Palestine,PS,2007-07-23,2015-12-14,
Juhor ad Dik,PS02603045,Juhor ad Dik,,,Gaza,PS0260,State of Palestine,PS,2007-07-23,2015-12-14,
Qizan an Najjar,PS02703450,Qizan an Najjar,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Al Bureij Camp,PS02653140,Al Bureij Camp,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Al Musaddar,PS02653250,Al Musaddar,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Az Zawayda,PS02653180,Az Zawayda,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Wadi as Salqa,PS02653275,Wadi as Salqa,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Deir al Balah,PS02653240,Deir al Balah,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Al Qarara,PS02703370,Al Qarara,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
An Nuseirat Camp,PS02653065,An Nuseirat Camp,,,Deir Al-Balah,PS0265,State of Palestine,PS,2007-07-23,2015-12-14,
Khuza'a,PS02703470,Khuzaa,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Gaza City,PS02602825,Gaza City,,,Gaza,PS0260,State of Palestine,PS,2007-07-23,2015-12-14,
Tal as Sultan,PS02753460,Tal as Sultan,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Rafah,PS02753490,Rafah,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Ezbet Beit Hanoun,PS02552745,Ezbet Beit Hanoun,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Al Qaraya al Badawiya al Maslakh,PS02552681,Al Qaraya al Badawiya al Maslakh,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Al Fukhkhari,PS02703485,Al Fukhkhari,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Umm Kameil,PS02703475,Umm Kameil,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Umm al Kilab,PS02753480,Umm al Kilab,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
As Sureij,PS02703390,As Sureij,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Qa' al Kharaba,PS02703455,Qa al Kharaba,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Qa' al Qurein,PS02703465,Qa al Qurein,,,Khan Younis,PS0270,State of Palestine,PS,2007-07-23,2015-12-14,
Shokat as Sufi,PS02753505,Shokat as Sufi,,,Rafah,PS0275,State of Palestine,PS,2007-07-23,2015-12-14,
Beit Lahiya,PS02552681,Beit Lahiya,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Beit Hanoun,PS02552740,Beit Hanoun,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Jabalya,PS02552790,Jabalya,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
Al Mughraqa,PS02602945,Al Mughraqa,,,Gaza,PS0260,State of Palestine,PS,2007-07-23,2015-12-14,
Madinat al 'Awda,PS02552700,Madinat al Awda,,,North Gaza,PS0255,State of Palestine,PS,2007-07-23,2015-12-14,
