admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Khartoum,SD01,Khartoum,,,Sudan,SD,2014-11-01,2015-11-30,
River Nile,SD16,River Nile,,,Sudan,SD,2014-11-01,2015-11-30,
Northern,SD17,Northern,,,Sudan,SD,2014-11-01,2015-11-30,
North Kordofan,SD13,North Kordofan,,,Sudan,SD,2014-11-01,2015-11-30,
West Kordofan,SD18,West Kordofan,,,Sudan,SD,2014-11-01,2015-11-30,
El Gazira,SD15,El Gazira,,,Sudan,SD,2014-11-01,2015-11-30,
Sennar,SD14,Sennar,,,Sudan,SD,2014-11-01,2015-11-30,
White Nile,SD09,White Nile,,,Sudan,SD,2014-11-01,2015-11-30,
Kassala,SD11,Kassala,,,Sudan,SD,2014-11-01,2015-11-30,
Red Sea,SD10,Red Sea,,,Sudan,SD,2014-11-01,2015-11-30,
Gedaref,SD12,Gedaref,,,Sudan,SD,2014-11-01,2015-11-30,
South Kordofan,SD07,South Kordofan,,,Sudan,SD,2014-11-01,2015-11-30,
Abyei PCA Area,SD19,Abyei PCA Area,,,Sudan,SD,2014-11-01,2015-11-30,
Blue Nile,SD08,Blue Nile,,,Sudan,SD,2014-11-01,2015-11-30,
Central Darfur,SD06,Central Darfur,,,Sudan,SD,2014-11-01,2015-11-30,
West Darfur,SD04,West Darfur,,,Sudan,SD,2014-11-01,2015-11-30,
North Darfur,SD02,North Darfur,,,Sudan,SD,2014-11-01,2015-11-30,
East Darfur,SD05,East Darfur,,,Sudan,SD,2014-11-01,2015-11-30,
South Darfur,SD03,South Darfur,,,Sudan,SD,2014-11-01,2015-11-30,
