admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Jabal Aulia,SD01001,Jabal Aulia,Jabal Aulia,Jabal Aulia,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Umm Badda,SD01002,Umm Badda,Umm Badda,Umm Badda,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Khartoum North,SD01003,Khartoum North,Bahri,Khartoum North,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Sharq El Nile,SD01004,Sharq El Nile,Sharq El Nile,Sharq El Nile,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Karari,SD01005,Karari,Karari,Karari,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Um Durman,SD01006,Um Durman,Um Durman,Um Durman,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Khartoum,SD01007,Khartoum,Khartoum,Khartoum,Khartoum,SD01,Sudan,SD,2014-01-01,2015-11-30,
Abu Hamed,SD16008,Abu Hamed,Abu Hamed,Abu Hamed,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
El Matammah,SD16009,El Matammah,El Matammah,El Matammah,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
Shendi,SD16010,Shendi,Shendi,Shendi,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
Ed Damer,SD16011,Ed Damer,Ed Damer,Ed Damer,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
Atbara,SD16012,Atbara,Atbara,Atbara,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
Barbar,SD16013,Barbar,Barbar,Barbar,River Nile,SD16,Sudan,SD,2014-01-01,2015-11-30,
Alborgag,SD17016,Alborgag,Alborgag,Alborgag,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Dongola,SD17017,Dongola,Dongola,Dongola,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Algolid,SD17018,Algolid,Algolid,Algolid,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Al Daba,SD17019,Al Daba,Al Daba,Al Daba,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Merawi,SD17020,Merawi,Merawi,Merawi,Northern,SD17,Sudan,SD,2014-01-01,2015-11-30,
Sodari,SD13025,Sodari,Sodari,Sodari,North Kordofan,SD13,Sudan,SD,2014-01-01,2015-11-30,
Bara,SD13026,Bara,Bara,Bara,North Kordofan,SD13,Sudan,SD,2014-01-01,2015-11-30,
Jebrat El Sheikh,SD13027,Jebrat El Sheikh, Jebrat El Sheikh,Jebrat El Sheikh,North Kordofan,SD13,Sudan,SD,2014-01-01,2015-11-30,
Wad Banda,SD18029,Wad Banda,Wad Banda,Wad Banda,West Kordofan,SD18,Sudan,SD,2014-01-01,2015-11-30,
Greater Wad Madani,SD15030,Greater Wad Madani,Madani El Kobra,Greater Wad Madani,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
Southern El Gezira,SD15031,Southern El Gezira,Janub El Gezira,Southern El Gezira,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
Um El Qura,SD15032,Um El Qura,Um El Qura,Um El Qura,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
Eastern El Gezira,SD15033,Eastern El Gezira,Sharg El Gezira,Eastern El Gezira,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
El Hasaheesa,SD15034,El Hasaheesa,El Hasaheesa,El Hasaheesa,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
El Kamleen,SD15035,El Kamleen,El Kamleen,El Kamleen,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
El Manageel,SD15036,El Manageel,El Manageel,El Manageel,El Gazira,SD15,Sudan,SD,2014-01-01,2015-11-30,
Abu Houjar,SD14037,Abu Houjar,Abu Houjar,Abu Houjar,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
Sennar,SD14038,Sennar,Sennar,Sennar,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
El Dali,SD14039,El Dali,El Dali,El Dali,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
El Souki,SD14041,El Souki,El Souki,El Souki,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
Eastern Sennar,SD14042,Eastern Sennar,Sharg Sennar,Eastern Sennar,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
Singa,SD14043,Singa,Singa,Singa,Sennar,SD14,Sudan,SD,2014-01-01,2015-11-30,
El Douiem,SD09044,El Douiem,El Douiem,El Douiem,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
Umm Ramtta,SD09045,Umm Ramtta,Umm Ramtta,Umm Ramtta,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
Rabak,SD09046,Rabak,Rabak,Rabak,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
Kosti,SD09047,Kosti,Kosti,Kosti,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
Tendalti,SD09048,Tendalti,Tendalti,Tendalti,White Nile,SD09,Sudan,SD,2014-01-01,2015-11-30,
