admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,ValidTo
Juba,SS0101,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Kajo-keji,SS0102,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Lainya,SS0103,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Morobo,SS0104,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Terekeka,SS0105,,Terkeka,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Yei,SS0106,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2018-08-17,
Budi,SS0201,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Ikotos,SS0202,,Ikwoto,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Kapoeta East,SS0203,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Kapoeta North,SS0204,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Kapoeta South,SS0205,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Lafon,SS0206,,Lopa,Lapon,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Magwi,SS0207,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Torit,SS0208,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2018-08-17,
Akobo,SS0301,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Ayod,SS0302,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Bor South,SS0303,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Canal/Pigi,SS0304,,Khorflus,Khorfulus,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Duk,SS0305,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Fangak,SS0306,,Old Fangak,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Nyirol,SS0307,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Pibor,SS0308,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Pochalla,SS0309,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Twic East,SS0310,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Uror,SS0311,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2018-08-17,
Awerial,SS0401,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Cueibet,SS0402,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Rumbek Centre,SS0403,,Rumbek Center,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Rumbek East,SS0404,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Rumbek North,SS0405,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Wulu,SS0406,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Yirol East,SS0407,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Yirol West,SS0408,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2018-08-17,
Aweil Centre,SS0501,,Aweil Center,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2018-08-17,
Aweil East,SS0502,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2018-08-17,
Aweil North,SS0503,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2018-08-17,
Aweil South,SS0504,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2018-08-17,
Aweil West,SS0505,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2018-08-17,
Abiemnhom,SS0601,,,,Unity,SS06,South Sudan,SS,2018-08-15,2018-08-17,
Guit,SS0602,,,,Unity,SS06,South Sudan,SS,2018-08-15,2018-08-17,
