admin0Name_ar,admin0Name_en,admin0Pcode,admin1Name_ar,admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_ar,admin1AltName1_en,admin1AltName2_ar,admin1AltName2_en,LastUpdatedate,validOn,validTo
الجمهورية العربية السورية,Syrian Arab Republic,SY,دمشق,Damascus,SY01,Damascus,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,حلب,Aleppo,SY02,Aleppo,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,ريف دمشق,Rural Damascus,SY03,Rural Damascus,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,حمص,Homs,SY04,Homs,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,حماة,Hama,SY05,Hama,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,اللاذقية,Lattakia,SY06,Lattakia,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,إدلب,Idleb,SY07,Idleb,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,الحسكة,Al-Hasakeh,SY08,Al-Hasakeh,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,دير الزور,Deir-ez-Zor,SY09,Deir-ez-Zor,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,طرطوس,Tartous,SY10,Tartous,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,الرقة,Ar-Raqqa,SY11,Ar-Raqqa,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,درعا,Dar'a,SY12,Dara,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,السويداء,As-Sweida,SY13,As-Sweida,,,,,2016-09-05,2016-09-05,
الجمهورية العربية السورية,Syrian Arab Republic,SY,القنيطرة,Quneitra,SY14,Quneitra,,,,,2016-09-05,2016-09-05,
