admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName1_ar,admin2AltName2_en,admin2AltName2_ar,LastUpdateDate,validOn,validTo
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Jebel Saman,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Al Bab,الباب,SY0202,Al Bab,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Afrin,عفرين,SY0203,Afrin,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,A'zaz,اعزاز,SY0204,Azaz,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Menbij,منبج,SY0205,Menbij,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Ain Al Arab,عين العرب,SY0206,Ain Al Arab,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,As-Safira,السفيرة,SY0207,As-Safira,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jarablus,جرابلس,SY0208,Jarablus,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Rural Damascus,مركز ريف دمشق,SY0301,Rural Damascus,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Duma,دوما,SY0302,Duma,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Al Qutayfah,القطيفة,SY0303,Al Qutayfah,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,At Tall,التل,SY0304,At Tall,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Yabroud,يبرود,SY0305,Yabroud,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,An Nabk,النبك,SY0306,An Nabk,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Az-Zabdani,الزبداني,SY0307,Az-Zabdani,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Qatana,قطنا,SY0308,Qatana,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Rural Damascus,ريف دمشق,SY03,Darayya,داريا,SY0309,Darayya,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Homs,مركز حمص,SY0401,Homs,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Al-Qusayr,القصير,SY0402,Al-Qusayr,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Tall Kalakh,تلكلخ,SY0403,Tall Kalakh,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Ar-Rastan,الرستن,SY0404,Ar-Rastan,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Tadmor,تدمر,SY0405,Tadmor,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Homs,حمص,SY04,Al Makhrim,المخرم,SY0406,Al Makhrim,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Hama,مركز حماة,SY0501,Hama,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Suqaylabiyah,السقيلبية,SY0502,As-Suqaylabiyah,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,As-Salamiyeh,السلمية,SY0503,As-Salamiyeh,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Masyaf,مصياف,SY0504,Masyaf,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Hama,حماة,SY05,Muhradah,محردة,SY0505,Muhradah,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Lattakia,اللاذقية,SY06,Lattakia,مركز اللاذقية,SY0600,Lattakia,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Lattakia,اللاذقية,SY06,Jablah,جبلة,SY0602,Jablah,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Lattakia,اللاذقية,SY06,Al-Haffa,الحفة,SY0603,Al-Haffa,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Lattakia,اللاذقية,SY06,Al-Qardaha,القرداحة,SY0604,Al-Qardaha,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Idleb,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Al Mara,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Harim,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ariha,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Al-Hasakeh,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Quamishli,القامشلي,SY0802,Quamishli,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Malikeyyeh,المالكية,SY0803,Al-Malikeyyeh,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Ras Al Ain,رأس العين,SY0804,Ras Al Ain,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Deir-ez-Zor,دير الزور,SY09,Deir-ez-Zor,مركز دير الزور,SY0901,Deir-ez-Zor,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Deir-ez-Zor,دير الزور,SY09,Abu Kamal,البوكمال,SY0902,Abu Kamal,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Deir-ez-Zor,دير الزور,SY09,Al Mayadin,الميادين,SY0903,Al Mayadin,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Tartous,طرطوس,SY10,Tartous,مركز طرطوس,SY1000,Tartous,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Tartous,طرطوس,SY10,Qadmous,القدموس,SY1006,Qadmous,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Tartous,طرطوس,SY10,Safita,صافيتا,SY1003,Safita,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Tartous,طرطوس,SY10,Dreikish,دريكيش,SY1004,Dreikish,,,,,2016-09-05,2016-09-05,
