admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName_en,admin3RefName_ar,admin3AltName1_en,admin3AltName1_ar,admin3AltName2_en,admin3AltName2_ar,LastUpdateDate,validOn,validTo
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ariha,مركز أريحا,SY070500,Ariha,مركز أريحا,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ehsem,احسم,SY070501,Ehsem,احسم,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Mhambal,محمبل,SY070502,Mhambal,محمبل,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Jisr-Ash-Shugur,مركز جسر الشغور,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Badama,بداما,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Darkosh,دركوش,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Janudiyeh,الجانودية,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Harim,مركز حارم,SY070300,Harim,مركز حارم,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Dana,دانا,SY070301,Dana,دانا,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Salqin,سلقين,SY070302,Salqin,سلقين,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Kafr Takharim,كفر تخاريم,SY070303,Kafr Takharim,كفر تخاريم,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Qourqeena,قورقينا,SY070304,Qourqeena,قورقينا,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Armanaz,أرمناز,SY070305,Armanaz,أرمناز,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Abul Thohur,أبو الظهور,SY070001,Abul Thohur,أبو الظهور,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Bennsh,بنش,SY070002,Bennsh,بنش,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Saraqab,سراقب,SY070003,Saraqab,سراقب,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Teftnaz,تفتناز,SY070004,Teftnaz,تفتناز,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Maaret Tamsrin,معرة تمصرين,SY070005,Maaret Tamsrin,معرة تمصرين,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Sarmin,سرمين,SY070006,Sarmin,سرمين,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Idleb,مركز إدلب,SY0700,Idleb,مركز إدلب,SY070000,Idleb,مركز إدلب,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Ma'arrat An Nu'man,مركز معرة النعمان,SY070200,Maarrat An Numan,مركز معرة النعمان,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Khan Shaykun,خان شيخون,SY070201,Khan Shaykun,خان شيخون,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Sanjar,سنجار,SY070202,Sanjar,سنجار,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Kafr Nobol,كفر نبل,SY070203,Kafr Nobol,كفر نبل,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Tamanaah,التمانعة,SY070204,Tamanaah,التمانعة,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Al Ma'ra,معرة النعمان,SY0702,Heish,حيش,SY070205,Heish,حيش,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Quamishli,القامشلي,SY0802,Quamishli,مركز القامشلي,SY080200,Quamishli,مركز القامشلي,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Quamishli,القامشلي,SY0802,Tal Hmis,تل حميس,SY080201,Tal Hmis,تل حميس,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Quamishli,القامشلي,SY0802,Amuda,عامودا,SY080202,Amuda,عامودا,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Quamishli,القامشلي,SY0802,Qahtaniyyeh,قحطانية,SY080203,Qahtaniyyeh,قحطانية,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Malikeyyeh,المالكية,SY0803,Al-Malikeyyeh,مركز المالكية,SY080300,Al-Malikeyyeh,مركز المالكية,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Malikeyyeh,المالكية,SY0803,Jawadiyah,جوادية,SY080301,Jawadiyah,جوادية,,,,,2016-09-05,2016-09-05,
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Malikeyyeh,المالكية,SY0803,Ya'robiyah,يعربية,SY080302,Yarobiyah,يعربية,,,,,2016-09-05,2016-09-05,
