admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin4Name_en,admin4Name_ar,admin4Pcode,areaName_en,areaName_ar,areaPcode,neibourhoodName_en,neibourhoodName_ar,neibourhoodPcode,neibourhoodRefName_en,neibourhoodRefName_ar,neibourhoodAltName1_en,neibourhoodAltName1_ar,neibourhoodAltName2_en,neibourhoodAltName2_ar,LastUpdateDate,validOn,validTo,neibourhoodPreviuosPcode
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Rukn Eddine,ركن الدين,A002,Asad Addein,أسد الدين,N0006,Asad Addein,أسد الدين,,,,,2016-09-05,,,SY0100011
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Rukn Eddine,ركن الدين,A002,Naqshabandi,النقشبندي,N0009,Naqshabandi,النقشبندي,,,,,2016-09-05,,,SY0100012
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Rukn Eddine,ركن الدين,A002,Al Fayhaa,الفيحاء,N0016,Al Fayhaa (Damascus),الفيحاء - دمشق,,,,,2016-09-05,,,SY0100013
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Rukn Eddine,ركن الدين,A002,Ayoubiya,الأيوبية,N0013,Ayoubiya,الأيوبية,,,,,2016-09-05,,,SY0100014
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Haboubi,الحبوبي,N0037,Haboubi,الحبوبي,,,,,2016-09-05,,,SY0100021
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Rawda,الروضة,N0031,Rawda,الروضة,,,,,2016-09-05,,,SY0100022
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Shoura,شورى,N0022,Shoura,شورى,,,,,2016-09-05,,,SY0100023
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Mastaba,المصطبة,N0023,Mastaba,المصطبة,,,,,2016-09-05,,,SY0100024
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Al Marabit,المرابط,N0027,Al Marabit,المرابط,,,,,2016-09-05,,,SY0100025
Syrian Arab Republic,الجمهورية العربية السورية,SY,Damascus,دمشق,SY01,Damascus,دمشق,SY0100,Damascus,دمشق,SY010000,Damascus,دمشق,C1001,Muhajerin,المهاجرين,A006,Al Maliki,المالكي,N0036,Al Maliki,المالكي,,,,,2016-09-05,,,SY0100026
