admin1Name_fr,admin1Pcode,admin1RefName,admin1Name_MAJ,admin1AltName1_fr,admin1AltName2_fr,admin0Name_fr,admin0Pcode,date,validOn,validTo
Batha,TD01,Batha,BATHA,,,Tchad,TD,2016-03-15,2016-05-09,
Borkou,TD02,Borkou,BORKOU,,,Tchad,TD,2016-03-15,2016-05-09,
Chari-Baguirmi,TD03,Chari-Baguirmi,CHARI-BAGUIRMI,,,Tchad,TD,2016-03-15,2016-05-09,
Guéra,TD04,Guera,GUERA,,,Tchad,TD,2016-03-15,2016-05-09,
Hadjer-Lamis,TD05,Hadjer-Lamis,HADJER LAMIS,,,Tchad,TD,2016-03-15,2016-05-09,
Kanem,TD06,Kanem,KANEM,,,Tchad,TD,2016-03-15,2016-05-09,
Lac,TD07,Lac,LAC,,,Tchad,TD,2016-03-15,2016-05-09,
Logone Occidental,TD08,Logone Occidental,LOGONE OCCIDENTAL,,,Tchad,TD,2016-03-15,2016-05-09,
Logone Oriental,TD09,Logone Oriental,LOGONE ORIENTAL,,,Tchad,TD,2016-03-15,2016-05-09,
Mandoul,TD10,Mandoul,MANDOUL,,,Tchad,TD,2016-03-15,2016-05-09,
Mayo-Kebbi Est,TD11,Mayo-Kebbi Est,MAYO-KEBBI EST,,,Tchad,TD,2016-03-15,2016-05-09,
Mayo-Kebbi Ouest,TD12,Mayo-Kebbi Ouest,MAYO-KEBBI OUEST,,,Tchad,TD,2016-03-15,2016-05-09,
Moyen-Chari,TD13,Moyen-Chari,MOYEN-CHARI,,,Tchad,TD,2016-03-15,2016-05-09,
Ouaddaï,TD14,Ouaddai,OUADDAI,,,Tchad,TD,2016-03-15,2016-05-09,
Salamat,TD15,Salamat,SALAMAT,,,Tchad,TD,2016-03-15,2016-05-09,
Tandjilé,TD16,Tandjile,TANDJILE,,,Tchad,TD,2016-03-15,2016-05-09,
Wadi Fira,TD17,Wadi Fira,WADI FIRA,,,Tchad,TD,2016-03-15,2016-05-09,
N'Djamena,TD18,NDjamena,NDJAMENA,,,Tchad,TD,2016-03-15,2016-05-09,
Barh-El-Gazel,TD19,Barh-El-Gazel,BARH-EL-GAZEL,Barh-El-Gazal,,Tchad,TD,2016-03-15,2016-05-09,
Ennedi Est,TD20,Ennedi Est,ENNEDI EST,,,Tchad,TD,2016-03-15,2016-05-09,
Sila,TD21,Sila,SILA,,,Tchad,TD,2016-03-15,2016-05-09,
Tibesti,TD22,Tibesti,TIBESTI,,,Tchad,TD,2016-03-15,2016-05-09,
Ennedi Ouest,TD23,Ennedi Ouest,ENNEDI OUEST,,,Tchad,TD,2016-03-15,2016-05-09,
