admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
Batha Ouest,TD0101,Batha Ouest,BATHA OUEST,,,Batha,TD01,Tchad,TD,2016-04-07,2017-06-15,
Batha Est,TD0102,Batha Est,BATHA EST,,,Batha,TD01,Tchad,TD,2016-04-07,2017-06-15,
Fitri,TD0103,Fitri,FITRI,,,Batha,TD01,Tchad,TD,2016-04-07,2017-06-15,
Borkou,TD0201,Borkou,BORKOU,,,Borkou,TD02,Tchad,TD,2016-04-07,2017-06-15,
Baguirmi,TD0301,Baguirmi,BAGUIRMI,,,Chari-Baguirmi,TD03,Tchad,TD,2016-04-07,2017-06-15,
Chari,TD0302,Chari,CHARI,,,Chari-Baguirmi,TD03,Tchad,TD,2016-04-07,2017-06-15,
Loug-Chari,TD0303,Loug-Chari,LOUG-CHARI,,,Chari-Baguirmi,TD03,Tchad,TD,2016-04-07,2017-06-15,
Guéra,TD0401,Guera,GUERA,,,Guéra,TD04,Tchad,TD,2016-04-07,2017-06-15,
Abtouyour,TD0402,Abtouyour,ABTOUYOUR,,,Guéra,TD04,Tchad,TD,2016-04-07,2017-06-15,
Barh-Signaka,TD0403,Barh-Signaka,BARH-SIGNAKA,,,Guéra,TD04,Tchad,TD,2016-04-07,2017-06-15,
Mangalmé,TD0404,Mangalme,MANGALME,,,Guéra,TD04,Tchad,TD,2016-04-07,2017-06-15,
Dagana,TD0501,Dagana,DAGANA,,,Hadjer-Lamis,TD05,Tchad,TD,2016-04-07,2017-06-15,
Dababa,TD0502,Dababa,DABABA,,,Hadjer-Lamis,TD05,Tchad,TD,2016-04-07,2017-06-15,
Haraze-Al-Biar,TD0503,Haraze-Al-Biar,HARAZE-AL-BIAR,,,Hadjer-Lamis,TD05,Tchad,TD,2016-04-07,2017-06-15,
Kanem,TD0601,Kanem,KANEM,,,Kanem,TD06,Tchad,TD,2016-04-07,2017-06-15,
Nord Kanem,TD0602,Nord Kanem,NORD KANEM,,,Kanem,TD06,Tchad,TD,2016-04-07,2017-06-15,
Wadi Bissam,TD0603,Wadi-Bissam,WADI-BISSAM,,,Kanem,TD06,Tchad,TD,2016-04-07,2017-06-15,
Mamdi,TD0701,Mamdi,MAMDI,,,Lac,TD07,Tchad,TD,2016-04-07,2017-06-15,
Wayi,TD0702,Wayi,WAYI,,,Lac,TD07,Tchad,TD,2016-04-07,2017-06-15,
Lac Wey,TD0801,Lac Wey,LAC WEY,,,Logone Occidental,TD08,Tchad,TD,2016-04-07,2017-06-15,
Dodjé,TD0802,Dodje,DODJE,,,Logone Occidental,TD08,Tchad,TD,2016-04-07,2017-06-15,
Guéni,TD0803,Gueni,GUENI,,,Logone Occidental,TD08,Tchad,TD,2016-04-07,2017-06-15,
Ngourkosso,TD0804,Ngourkosso,NGOURKOSSO,,,Logone Occidental,TD08,Tchad,TD,2016-04-07,2017-06-15,
