adm1_tr,adm1_en,adm0_tr,adm0_en,pcode
ADANA,ADANA,TÜRKİYE,TURKEY,TUR001
ADIYAMAN,ADIYAMAN,TÜRKİYE,TURKEY,TUR002
AFYONKARAHİSAR,AFYONKARAHISAR,TÜRKİYE,TURKEY,TUR003
AĞRI,AGRI,TÜRKİYE,TURKEY,TUR004
AKSARAY,AKSARAY,TÜRKİYE,TURKEY,TUR068
AMASYA,AMASYA,TÜRKİYE,TURKEY,TUR005
ANKARA,ANKARA,TÜRKİYE,TURKEY,TUR006
ANTALYA,ANTALYA,TÜRKİYE,TURKEY,TUR007
ARDAHAN,ARDAHAN,TÜRKİYE,TURKEY,TUR075
ARTVİN,ARTVIN,TÜRKİYE,TURKEY,TUR008
AYDIN,AYDIN,TÜRKİYE,TURKEY,TUR009
BALIKESİR,BALIKESIR,TÜRKİYE,TURKEY,TUR010
BARTIN,BARTIN,TÜRKİYE,TURKEY,TUR074
BATMAN,BATMAN,TÜRKİYE,TURKEY,TUR072
BAYBURT,BAYBURT,TÜRKİYE,TURKEY,TUR069
BİLECİK,BILECIK,TÜRKİYE,TURKEY,TUR011
BİNGÖL,BINGOL,TÜRKİYE,TURKEY,TUR012
BİTLİS,BITLIS,TÜRKİYE,TURKEY,TUR013
BOLU,BOLU,TÜRKİYE,TURKEY,TUR014
BURDUR,BURDUR,TÜRKİYE,TURKEY,TUR015
BURSA,BURSA,TÜRKİYE,TURKEY,TUR016
ÇANAKKALE,CANAKKALE,TÜRKİYE,TURKEY,TUR017
ÇANKIRI,CANKIRI,TÜRKİYE,TURKEY,TUR018
ÇORUM,CORUM,TÜRKİYE,TURKEY,TUR019
DENİZLİ,DENIZLI,TÜRKİYE,TURKEY,TUR020
DİYARBAKIR,DIYARBAKIR,TÜRKİYE,TURKEY,TUR021
DÜZCE,DUZCE,TÜRKİYE,TURKEY,TUR081
EDİRNE,EDIRNE,TÜRKİYE,TURKEY,TUR022
ELAZIĞ,ELAZIG,TÜRKİYE,TURKEY,TUR023
ERZİNCAN,ERZINCAN,TÜRKİYE,TURKEY,TUR024
ERZURUM,ERZURUM,TÜRKİYE,TURKEY,TUR025
ESKİŞEHİR,ESKISEHIR,TÜRKİYE,TURKEY,TUR026
GAZİANTEP,GAZIANTEP,TÜRKİYE,TURKEY,TUR027
GİRESUN,GIRESUN,TÜRKİYE,TURKEY,TUR028
GÜMÜŞHANE,GUMUSHANE,TÜRKİYE,TURKEY,TUR029
HAKKARİ,HAKKARI,TÜRKİYE,TURKEY,TUR030
HATAY,HATAY,TÜRKİYE,TURKEY,TUR031
IĞDIR,IGDIR,TÜRKİYE,TURKEY,TUR076
ISPARTA,ISPARTA,TÜRKİYE,TURKEY,TUR032
İSTANBUL,ISTANBUL,TÜRKİYE,TURKEY,TUR034
İZMİR,IZMIR,TÜRKİYE,TURKEY,TUR035
KAHRAMANMARAŞ,KAHRAMANMARAS,TÜRKİYE,TURKEY,TUR046
KARABÜK,KARABUK,TÜRKİYE,TURKEY,TUR078
KARAMAN,KARAMAN,TÜRKİYE,TURKEY,TUR070
KARS,KARS,TÜRKİYE,TURKEY,TUR036
KASTAMONU,KASTAMONU,TÜRKİYE,TURKEY,TUR037
KAYSERİ,KAYSERI,TÜRKİYE,TURKEY,TUR038
KİLİS,KILIS,TÜRKİYE,TURKEY,TUR079
KIRIKKALE,KIRIKKALE,TÜRKİYE,TURKEY,TUR071
KIRKLARELİ,KIRKLARELI,TÜRKİYE,TURKEY,TUR039
KIRŞEHİR,KIRSEHIR,TÜRKİYE,TURKEY,TUR040
KOCAELİ,KOCAELI,TÜRKİYE,TURKEY,TUR041
KONYA,KONYA,TÜRKİYE,TURKEY,TUR042
KÜTAHYA,KUTAHYA,TÜRKİYE,TURKEY,TUR043
MALATYA,MALATYA,TÜRKİYE,TURKEY,TUR044
MANİSA,MANISA,TÜRKİYE,TURKEY,TUR045
MARDİN,MARDIN,TÜRKİYE,TURKEY,TUR047
MERSİN,MERSIN,TÜRKİYE,TURKEY,TUR033
MUĞLA,MUGLA,TÜRKİYE,TURKEY,TUR048
MUŞ,MUS,TÜRKİYE,TURKEY,TUR049
NEVŞEHİR,NEVSEHIR,TÜRKİYE,TURKEY,TUR050
NİĞDE,NIGDE,TÜRKİYE,TURKEY,TUR051
ORDU,ORDU,TÜRKİYE,TURKEY,TUR052
OSMANİYE,OSMANIYE,TÜRKİYE,TURKEY,TUR080
RİZE,RIZE,TÜRKİYE,TURKEY,TUR053
SAKARYA,SAKARYA,TÜRKİYE,TURKEY,TUR054
SAMSUN,SAMSUN,TÜRKİYE,TURKEY,TUR055
SİİRT,SIIRT,TÜRKİYE,TURKEY,TUR056
SİNOP,SINOP,TÜRKİYE,TURKEY,TUR057
SİVAS,SIVAS,TÜRKİYE,TURKEY,TUR058
ŞANLIURFA,SANLIURFA,TÜRKİYE,TURKEY,TUR063
ŞIRNAK,SIRNAK,TÜRKİYE,TURKEY,TUR073
TEKİRDAĞ,TEKIRDAG,TÜRKİYE,TURKEY,TUR059
TOKAT,TOKAT,TÜRKİYE,TURKEY,TUR060
TRABZON,TRABZON,TÜRKİYE,TURKEY,TUR061
TUNCELİ,TUNCELI,TÜRKİYE,TURKEY,TUR062
UŞAK,USAK,TÜRKİYE,TURKEY,TUR064
VAN,VAN,TÜRKİYE,TURKEY,TUR065
YALOVA,YALOVA,TÜRKİYE,TURKEY,TUR077
YOZGAT,YOZGAT,TÜRKİYE,TURKEY,TUR066
ZONGULDAK,ZONGULDAK,TÜRKİYE,TURKEY,TUR067
