adm2_tr,adm2_en,adm1_tr,adm1_en,adm1_code,adm0_tr,adm0_en,pcode
ALADAĞ,ALADAG,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001001
CEYHAN,CEYHAN,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001002
ÇUKUROVA,CUKUROVA,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001003
FEKE,FEKE,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001004
İMAMOĞLU,IMAMOGLU,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001005
KARAİSALI,KARAISALI,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001006
KARATAŞ,KARATAS,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001007
KOZAN,KOZAN,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001008
POZANTI,POZANTI,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001009
SAİMBEYLİ,SAIMBEYLI,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001010
SARIÇAM,SARICAM,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001011
SEYHAN,SEYHAN,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001012
TUFANBEYLİ,TUFANBEYLI,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001013
YUMURTALIK,YUMURTALIK,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001014
YÜREĞİR,YUREGIR,ADANA,ADANA,TUR001,TÜRKİYE,TURKEY,TUR001015
ADIYAMAN,ADIYAMAN,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002001
BESNİ,BESNI,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002002
ÇELİKHAN,CELIKHAN,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002003
GERGER,GERGER,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002004
GÖLBAŞI,GOLBASI,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002005
KAHTA,KAHTA,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002006
SAMSAT,SAMSAT,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002007
SİNCİK,SINCIK,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002008
TUT,TUT,ADIYAMAN,ADIYAMAN,TUR002,TÜRKİYE,TURKEY,TUR002009
AFYONKARAHİSAR,AFYONKARAHISAR,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003001
BAŞMAKÇI,BASMAKCI,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003002
BAYAT,BAYAT,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003003
BOLVADİN,BOLVADIN,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003004
ÇAY,CAY,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003005
ÇOBANLAR,COBANLAR,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003006
DAZKIRI,DAZKIRI,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003007
DİNAR,DINAR,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003008
EMİRDAĞ,EMIRDAG,AFYONKARAHİSAR,AFYONKARAHISAR,TUR003,TÜRKİYE,TURKEY,TUR003009
