COD_ESTADO,ADM1_ES,ADM1_PCODE,ADM0_ES,ADM0_EN,ADM0_PCODE
1,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
4,Apure,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
5,Aragua,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
6,Barinas,VE06,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
7,Bolivar,VE07,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
8,Carabobo,VE08,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
9,Cojedes,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
10,Delta Amacuro,VE10,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
11,Falcon,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
12,Guarico,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
13,Lara,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
14,Merida,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
15,Miranda,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
16,Monagas,VE16,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
17,Nueva Esparta,VE17,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
18,Portuguesa,VE18,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
19,Sucre,VE19,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
20,Tachira,VE20,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
21,Trujillo,VE21,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
22,Yaracuy,VE22,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
23,Zulia,VE23,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
24,Vargas,VE24,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
