COD_ESTADO,COD_MUNIC,ADM2_ES,ADM2_PCODE,ADM1_ES,ADM1_PCODE,ADM0_ES,ADM0_EN,ADM0_PCODE
1,1,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,1,Autonomo Alto Orinoco,VE0201,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,2,Autonomo Atabapo,VE0202,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,3,Autonomo Atures,VE0203,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,4,Autonomo Autana,VE0204,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,5,Autonomo Maroa,VE0205,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,6,Autonomo Manapiare,VE0206,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,7,Autonomo Rio Negro,VE0207,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,1,Anaco,VE0301,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,2,Aragua,VE0302,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,3,Fernando De Peñalv,VE0303,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,4,Francisco Del Carm,VE0304,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,5,Francisco De Miran,VE0305,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,6,Guanta,VE0306,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,7,Independencia,VE0307,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,8,Juan Antonio Sotil,VE0308,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,9,Juan Manuel Cajiga,VE0309,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,11,Libertad,VE0311,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,12,Manuel Ezequiel Br,VE0312,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,13,Pedro Maria Freite,VE0313,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,14,Piritu,VE0314,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,15,San Jose De Guanip,VE0315,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,16,San Juan De Capist,VE0316,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
