COD_ESTADO,COD_MUNIC,COD_PARROQ,ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,ADM1_PCODE,ADM0_ES,ADM0_EN,ADM0_PCODE
1,1,1,Altagracia,VE010101,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,2,Antimano,VE010102,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,3,Candelaria,VE010103,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,4,Caricuao,VE010104,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,5,Catedral,VE010105,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,6,Coche,VE010106,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,7,El Junquito,VE010107,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,8,El Paraiso,VE010108,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,9,El Recreo,VE010109,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,10,El Valle,VE010110,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,11,La Pastora,VE010111,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,12,La Vega,VE010112,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,13,Macarao,VE010113,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,14,San Agustin,VE010114,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,15,San Benardino,VE010115,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,16,San Jose,VE010116,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,17,San Juan,VE010117,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,18,San Pedro,VE010118,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,19,Santa Rosalia,VE010119,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,20,Santa Teresa,VE010120,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,21,Sucre,VE010121,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
1,1,22,23 De Enero,VE010122,Libertador,VE0101,Distrito Federal,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,1,0,Autonomo Alto Orinoco,VE020100,Autonomo Alto Orinoco,VE0201,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,2,0,Autonomo Atabapo,VE020200,Autonomo Atabapo,VE0202,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,3,0,Autonomo Atures,VE020300,Autonomo Atures,VE0203,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,4,0,Autonomo Autana,VE020400,Autonomo Autana,VE0204,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,5,0,Autonomo Maroa,VE020500,Autonomo Maroa,VE0205,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,6,0,Autonomo Manapiare,VE020600,Autonomo Manapiare,VE0206,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
2,7,0,Autonomo Rio Negro,VE020700,Autonomo Rio Negro,VE0207,Amazonas,VE02,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,1,1,Capital Anaco,VE030101,Anaco,VE0301,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,1,2,San Joaquin,VE030102,Anaco,VE0301,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,2,1,Capital Aragua,VE030201,Aragua,VE0302,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,2,2,Cachipo,VE030202,Aragua,VE0302,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,3,1,Capital Fernando De Peñalv,VE030301,Fernando De Peñalv,VE0303,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,3,2,San Miguel,VE030302,Fernando De Peñalv,VE0303,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,3,3,Sucre,VE030303,Fernando De Peñalv,VE0303,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,4,1,Valle De Guanape,VE030401,Francisco Del Carm,VE0304,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,4,2,Santa Barbara,VE030402,Francisco Del Carm,VE0304,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,5,1,Capital Francisco De Miran,VE030501,Francisco De Miran,VE0305,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,5,2,Atapirire,VE030502,Francisco De Miran,VE0305,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,5,3,Boca Del Pao,VE030503,Francisco De Miran,VE0305,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,5,4,El Pao,VE030504,Francisco De Miran,VE0305,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,6,1,Guanta,VE030601,Guanta,VE0306,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,6,2,Chorreron,VE030602,Guanta,VE0306,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,7,1,Capital Independencia,VE030701,Independencia,VE0307,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,7,2,Mamo,VE030702,Independencia,VE0307,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,8,1,Capital Puerto La Cruz,VE030801,Juan Antonio Sotil,VE0308,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,8,2,Pozuelos,VE030802,Juan Antonio Sotil,VE0308,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,9,1,Capital Onoto,VE030901,Juan Manuel Cajiga,VE0309,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,9,2,San Pablo,VE030902,Juan Manuel Cajiga,VE0309,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,1,Capital Jose Gregorio Mona,VE031001,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,2,Piar,VE031002,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,3,San Diego De Cabrutica,VE031003,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,4,Santa Clara,VE031004,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,5,Uverito,VE031005,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,10,6,Zuata,VE031006,Jose Gregorio Mona,VE0310,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,11,1,Capital Libertad,VE031101,Libertad,VE0311,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,11,2,El Carito,VE031102,Libertad,VE0311,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,11,3,Santa Ines,VE031103,Libertad,VE0311,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,12,1,Capital Clarines,VE031201,Manuel Ezequiel Br,VE0312,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,12,2,Guanape,VE031202,Manuel Ezequiel Br,VE0312,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,12,3,Sabana De Uchire,VE031203,Manuel Ezequiel Br,VE0312,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,13,1,Capital Pedro Maria Freite,VE031301,Pedro Maria Freite,VE0313,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,13,2,Libertador,VE031302,Pedro Maria Freite,VE0313,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,13,3,Santa Rosa,VE031303,Pedro Maria Freite,VE0313,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,13,4,Urica,VE031304,Pedro Maria Freite,VE0313,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,14,1,Capital Piritu,VE031401,Piritu,VE0314,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,14,2,San Francisco,VE031402,Piritu,VE0314,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,15,1,Capital San Jose De Guanip,VE031501,San Jose De Guanip,VE0315,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,16,1,Capital Boca De Uchire,VE031601,San Juan De Capist,VE0316,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,16,2,Boca De Chavez,VE031602,San Juan De Capist,VE0316,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,17,1,Capital Santa  Ana,VE031701,Santa Ana,VE0317,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,17,2,Pueblo Nuevo,VE031702,Santa Ana,VE0317,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,1,El Carmen,VE031801,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,2,San Cristobal,VE031802,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,3,Bergantin,VE031803,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,4,Caigua,VE031804,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,5,El Pilar,VE031805,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
3,18,6,Naricual,VE031806,Simon Bolivar,VE0318,Anzoategui,VE03,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE
