admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin1RefName_en,admin1AltName1_ar,admin1AltName1_en,admin1AltName2_ar,admin1AltName2_en,date_,validOn,validTo
Yemen,اليمن,YE,Ibb,اب,YE11,Ibb,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Abyan,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a City,امانة العاصمه,YE13,Sanaa City,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Al Bayda,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ta'iz,تعز,YE15,Taiz,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Jawf,الجوف,YE16,Al Jawf,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hajjah,حجه,YE17,Hajjah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Hodeidah,الحديده,YE18,Al Hodeidah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Hadramawt,حضرموت,YE19,Hadramawt,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Dhamar,ذمار,YE20,Dhamar,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Shabwah,شبوه,YE21,Shabwah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sa'dah,صعده,YE22,Sadah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Sana'a,صنعاء,YE23,Sanaa,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Aden,عدن,YE24,Aden,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Lahj,لحج,YE25,Lahj,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ma'rib,مارب,YE26,Marib,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Mahwit,المحويت,YE27,Al Mahwit,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Maharah,المهره,YE28,Al Maharah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Amran,عمران,YE29,Amran,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ad Dali',الضالع,YE30,Ad Dali,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Raymah,ريمه,YE31,Raymah,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Socotra,سقطرى,YE32,Socotra,,,,,2019-02-01,2019-10-02,
