admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin2oldPcode,admin2RefName_en,admin2RefName_ar,admin2AltName1_en,admin2AltName1_ar,admin2AltName2_en,admin2AltName2_ar,date_,validOn,validTo
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,YE1101,Al Qafr,القفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,YE1102,Yarim,يريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Adh Dhihar,الظهار,YE1119,YE1119,Adh Dhihar,الظهار,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ibb,اب,YE1120,YE1120,Ibb,اب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Aden,عدن,YE24,Khur Maksar,خور مكسر,YE2408,YE2408,Khur Maksar,خور مكسر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,YE1103,Ar Radmah,الرضمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,YE1104,An Nadirah,النادره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,YE1105,Ash Shair,الشعر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Abyan,ابين,YE12,Sibah,سباح,YE1205,YE1205,Sibah,سباح,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,YE1106,As Saddah,السده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Makhadir,المخادر,YE1107,YE1107,Al Makhadir,المخادر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,YE1108,Hobeish,حبيش,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hazm Al Odayn,حزم العدين,YE1109,YE1109,Hazm Al Odayn,حزم العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Far' Al Odayn,فرع العدين,YE1110,YE1110,Far Al Odayn,فرع العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Odayn,العدين,YE1111,YE1111,Al Odayn,العدين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Jiblah,جبله,YE1112,YE1112,Jiblah,جبله,,,,,2019-02-01,2019-10-02,
