admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName_en,admin3RefName_ar,admin3AltName1_en,admin3AltName1_ar,admin3AltName2_en,admin3AltName2_ar,date_,validOn,validTo
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Sayf As Safil,بني سيف السافل,YE110121,Bani Sayf As Safil,بني سيف السافل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Murghim,بني مرغم,YE110122,Bani Murghim,بني مرغم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Sayf Al Aali,بني سيف العالي,YE110123,Bani Sayf Al Aali,بني سيف العالي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Saba,بني سباء,YE110124,Bani Saba - Al Qafr,بني سباء - القفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Al Bayda,البيضاء,YE14,Radman,ردمان,YE1412,Ghul Sulayman,غول سليمان,YE141222,Ghul Sulayman,غول سليمان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Aden,عدن,YE24,Kritar - Sirah,صيره,YE2407,Sirah,صيره,YE240721,Sirah,صيره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Muslim,بني مسلم,YE110125,Bani Muslim - Al Qafr,بني مسلم - القفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Mubariz,بني مبارز,YE110126,Bani Mubariz,بني مبارز,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Omar Al Aali,بني عمر العالي,YE110127,Bani Omar Al Aali,بني عمر العالي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Omar As Safil,بني عمر السافل,YE110128,Bani Omar As Safil,بني عمر السافل,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,An Nakhlah,النخله,YE110129,An Nakhlah,النخله,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Al Karabah,الكرابه,YE110130,Al Karabah,الكرابه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Jama'ah,بني جماعه,YE110131,Bani Jamaah,بني جماعه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Mahdi,بني مهدى,YE110132,Bani Mahdi,بني مهدى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Mad'hajein,مدحجين,YE110133,Madhajein,مدحجين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Dhamar,ذمار,YE20,Otmah,عتمه,YE2005,Ash Shuqr wa Dhulman,الشقر وظلمان,YE200543,Ash Shuqr wa Dhulman,الشقر وظلمان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Himyar,حمير,YE110134,Himyar - Al Qafr,حمير - القفر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Al Qafr,القفر,YE1101,Bani Sawi,بني ساوي,YE110135,Bani Sawi,بني ساوي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Bani Saba,بني سباء,YE110227,Bani Saba - Yarim,بني سباء - يريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Bani Muslim,بني مسلم,YE110228,Bani Muslim - Yarim,بني مسلم - يريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Aden,عدن,YE24,Khur Maksar,خور مكسر,YE2408,Khur Maksar,خور مكسر,YE240821,Khur Maksar,خور مكسر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Yarim,يريم,YE110221,Yarim,يريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Khaw,خاو,YE110222,Khaw,خاو,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Khawdan,خودان,YE110229,Khawdan,خودان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Shizar,شيزر,YE110322,Shizar,شيزر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Ra'in,رعين,YE110223,Rain,رعين,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Abidah,عبيده,YE110224,Abidah,عبيده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Aras,عراس,YE110225,Aras,عراس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Bani Omar,بني عمر,YE110226,Bani Omar - Yarim,بني عمر - يريم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Bani Manbah,بني منبه,YE110230,Bani Manbah,بني منبه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Yarim,يريم,YE1102,Aryab,ارياب,YE110231,Aryab,ارياب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Bani Qays,بني قيس,YE110321,Bani Qays - Ar Radmah,بني قيس - الرضمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Dhamar,ذمار,YE20,Wusab Al Aali,وصاب العالي,YE2006,Al Bayadi',البيادع,YE200670,Al Bayadi,البيادع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Kuhlan,كحلان,YE110323,Kuhlan - Ar Radmah,كحلان - الرضمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Al Bakrah,البكره,YE110324,Al Bakrah,البكره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Ajeeb,عجيب,YE110325,Ajeeb,عجيب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Dhamar,ذمار,YE20,Wusab As Safil,وصاب السافل,YE2007,Talhah,طلحه,YE200735,Talhah,طلحه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Azaal,ازال,YE110326,Azaal - Ar Radmah,ازال - الرضمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Sudan,سودان,YE110327,Sudan,سودان,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Yahir,يحير,YE110328,Yahir,يحير,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ar Radmah,الرضمه,YE1103,Harith Al Haydari,حارث الحيدرى,YE110329,Harith Al Haydari,حارث الحيدرى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Az Za'la'a,الزعلاء,YE110624,Az Zalaa,الزعلاء,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Hadah,حده,YE110421,Hadah,حده,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Ash Sharnamah Al Olya,الشرنمة العليا,YE110425,Ash Sharnamah Al Olya,الشرنمة العليا,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Sha'b Al Muraysi,شعب المريسي,YE110422,Shab Al Muraysi,شعب المريسي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Az Zamazimah,الزمازمه,YE110423,Az Zamazimah,الزمازمه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Shiba',شباع,YE110832,Shiba,شباع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Al Fajrah,الفجره,YE110424,Al Fajrah,الفجره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Al Aridah,العارضه,YE110426,Al Aridah - An Nadirah,العارضه - النادره,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,Adh Dharihi,الذارحي,YE110833,Adh Dharihi,الذارحي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Hazib,حزيب,YE110427,Hazib,حزيب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Sharih,شريح,YE110428,Sharih - An Nadirah,شريح,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Maqna',مقنع,YE110524,Maqna,مقنع,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Miftah,المفتاح,YE110525,Al Miftah,المفتاح,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Muqana' Al A'la,مقنع الاعلى,YE110429,Muqana Al Ala,مقنع الاعلى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Al Miftah Al A'la,المفتاح الاعلى,YE110430,Al Miftah Al Ala,المفتاح الاعلى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Dhulm,ظلم,YE110431,Dhulm,ظلم,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Qabil Al A'la,القابل الاعلى,YE110526,Al Qabil Al Ala,القابل الاعلى,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Wasat,الوسط,YE110527,Al Wasat - Ash Shair,الوسط - الشعر,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Hobeish,حبيش,YE1108,At Tafadi,التفادي,YE110834,At Tafadi,التفادي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Malik,مالك,YE110432,Malik,مالك,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Abs,العبس,YE110528,Al Abs,العبس,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Wadi Hajjaj,وادي حجاج,YE110621,Wadi Hajjaj,وادي حجاج,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Amqah,عمقه,YE110433,Amqah,عمقه,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,Wadi Al Habali,وادي الحبالي,YE110622,Wadi Al Habali,وادي الحبالي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,As Saddah,السده,YE1106,At Tuwiti,التويتي,YE110623,At Tuwiti,التويتي,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,An Nadirah,النادره,YE1104,Shakhb,شخب,YE110434,Shakhb,شخب,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Al Amluk,الا ملؤك,YE110521,Al Amluk,الا ملؤك,,,,,2019-02-01,2019-10-02,
Yemen,اليمن,YE,Ibb,اب,YE11,Ash Sha'ir,الشعر,YE1105,Bait As Saydi,بيت الصائدي,YE110522,Bait As Saydi,بيت الصائدي,,,,,2019-02-01,2019-10-02,
